region,period,scen,rem
31,2080,SSP1,7.988831521
31,2085,SSP1,7.813150098
31,2090,SSP1,7.306831956
31,2095,SSP1,7.252072829
31,2100,SSP1,6.449715122
108,2015,SSP1,NA
108,2020,SSP1,0.027246976
108,2025,SSP1,0.029209623
108,2030,SSP1,0.030932507
108,2035,SSP1,0.020498993
108,2040,SSP1,-0.024622211
108,2045,SSP1,-0.120474828
108,2050,SSP1,-0.310723148
108,2055,SSP1,-0.61294403
108,2060,SSP1,-1.06531179
108,2065,SSP1,-1.65357819
108,2070,SSP1,-2.738352377
108,2075,SSP1,-3.836780821
108,2080,SSP1,-5.087930545
108,2085,SSP1,-7.341292713
108,2090,SSP1,-9.353087946
108,2095,SSP1,-11.48056003
108,2100,SSP1,-15.57121029
56,2015,SSP1,NA
56,2020,SSP1,10.49864328
56,2025,SSP1,21.51620719
56,2030,SSP1,34.39951611
56,2035,SSP1,49.43482239
56,2040,SSP1,67.4279175
56,2045,SSP1,88.80306433
56,2050,SSP1,112.7166749
56,2055,SSP1,139.2667407
56,2060,SSP1,169.055618
56,2065,SSP1,201.6030149
56,2070,SSP1,237.1677733
56,2075,SSP1,275.8109146
56,2080,SSP1,315.0066512
56,2085,SSP1,354.1475497
56,2090,SSP1,395.9341064
56,2095,SSP1,437.1936215
56,2100,SSP1,474.4673365
204,2015,SSP1,NA
204,2020,SSP1,-0.36220749
204,2025,SSP1,-0.575163136
204,2030,SSP1,-0.991155529
204,2035,SSP1,-1.685531501
204,2040,SSP1,-2.877992824
204,2045,SSP1,-4.932234621
204,2050,SSP1,-7.941440595
204,2055,SSP1,-12.39837604
204,2060,SSP1,-19.21337997
204,2065,SSP1,-27.8529508
204,2070,SSP1,-38.53189772
204,2075,SSP1,-54.08745883
204,2080,SSP1,-68.99056744
204,2085,SSP1,-84.07384107
204,2090,SSP1,-109.6136709
204,2095,SSP1,-129.6736569
204,2100,SSP1,-151.4187711
854,2015,SSP1,NA
854,2020,SSP1,0.356882368
854,2025,SSP1,0.455306705
854,2030,SSP1,0.552412169
854,2035,SSP1,0.651284294
