year,countrycode,scenario,hdi.proj
2090,BFA,SSP1,NA
2095,BFA,SSP1,NA
2010,BGD,SSP1,0.48564841
2015,BGD,SSP1,0.510352863
2020,BGD,SSP1,0.539541373
2025,BGD,SSP1,0.566977195
2030,BGD,SSP1,0.592263819
2035,BGD,SSP1,0.615974969
2040,BGD,SSP1,0.638613022
2045,BGD,SSP1,0.659787517
2050,BGD,SSP1,0.678097756
2055,BGD,SSP1,0.693611038
2060,BGD,SSP1,0.707033794
2065,BGD,SSP1,0.720305769
2070,BGD,SSP1,0.732298656
2075,BGD,SSP1,0.742159085
2080,BGD,SSP1,NA
2085,BGD,SSP1,NA
2090,BGD,SSP1,NA
2095,BGD,SSP1,NA
2010,BGR,SSP1,0.729389405
2015,BGR,SSP1,0.744439087
2020,BGR,SSP1,0.76072209
2025,BGR,SSP1,0.773964027
2030,BGR,SSP1,0.784475322
2035,BGR,SSP1,0.792770507
2040,BGR,SSP1,0.800041225
2045,BGR,SSP1,0.806154784
2050,BGR,SSP1,0.809752779
2055,BGR,SSP1,0.811254614
2060,BGR,SSP1,0.810269357
2065,BGR,SSP1,0.810367083
2070,BGR,SSP1,0.81133963
2075,BGR,SSP1,0.812700239
2080,BGR,SSP1,NA
2085,BGR,SSP1,NA
2090,BGR,SSP1,NA
2095,BGR,SSP1,NA
2010,BHR,SSP1,0.750099959
2015,BHR,SSP1,0.767611374
2020,BHR,SSP1,0.787419947
2025,BHR,SSP1,0.800012349
2030,BHR,SSP1,0.810658689
2035,BHR,SSP1,0.819401082
2040,BHR,SSP1,0.827542755
2045,BHR,SSP1,0.834588459
2050,BHR,SSP1,0.838859863
2055,BHR,SSP1,0.840687875
2060,BHR,SSP1,0.839594762
2065,BHR,SSP1,0.839155471
2070,BHR,SSP1,0.839091152
2075,BHR,SSP1,0.839078124
2080,BHR,SSP1,NA
2085,BHR,SSP1,NA
2090,BHR,SSP1,NA
2095,BHR,SSP1,NA
2010,BHS,SSP1,0.752728502
2015,BHS,SSP1,0.760818589
2020,BHS,SSP1,0.770249659
2025,BHS,SSP1,0.78229271
2030,BHS,SSP1,0.793972155
2035,BHS,SSP1,0.803210812
2040,BHS,SSP1,0.811420012
2045,BHS,SSP1,0.818370895
2050,BHS,SSP1,0.822803686
2055,BHS,SSP1,0.825194694
2060,BHS,SSP1,0.82490584
2065,BHS,SSP1,0.825648146
2070,BHS,SSP1,0.827114832
2075,BHS,SSP1,0.828154833
2080,BHS,SSP1,NA
2085,BHS,SSP1,NA
2090,BHS,SSP1,NA
2095,BHS,SSP1,NA
2010,BIH,SSP1,0.707017295
2015,BIH,SSP1,0.731198033
2020,BIH,SSP1,0.76270357
2025,BIH,SSP1,0.784670601
2030,BIH,SSP1,0.800886586
2035,BIH,SSP1,0.812791269
2040,BIH,SSP1,0.822651839
2045,BIH,SSP1,0.830922553
2050,BIH,SSP1,0.836158454
2055,BIH,SSP1,0.839108973
2060,BIH,SSP1,0.83934466
2065,BIH,SSP1,0.84049394
2070,BIH,SSP1,0.842241581
2075,BIH,SSP1,0.844216412
2080,BIH,SSP1,NA
2085,BIH,SSP1,NA
2090,BIH,SSP1,NA
2095,BIH,SSP1,NA
2010,BLR,SSP1,0.718660029
2015,BLR,SSP1,0.739763861
2020,BLR,SSP1,0.758476974
2025,BLR,SSP1,0.770293364
2030,BLR,SSP1,0.778693048
2035,BLR,SSP1,0.784722353
2040,BLR,SSP1,0.790188132
2045,BLR,SSP1,0.795023879
2050,BLR,SSP1,0.797720393
2055,BLR,SSP1,0.798684496
2060,BLR,SSP1,0.79750784
2065,BLR,SSP1,0.797413201
2070,BLR,SSP1,0.798069042
2075,BLR,SSP1,0.79897574
2080,BLR,SSP1,NA
2085,BLR,SSP1,NA
2090,BLR,SSP1,NA
2095,BLR,SSP1,NA
2010,BLZ,SSP1,0.616381044
2015,BLZ,SSP1,0.635613122
2020,BLZ,SSP1,0.657119682
2025,BLZ,SSP1,0.678991575
2030,BLZ,SSP1,0.697104263
2035,BLZ,SSP1,0.71232629
2040,BLZ,SSP1,0.725438807
2045,BLZ,SSP1,0.736536102
2050,BLZ,SSP1,0.745188765
2055,BLZ,SSP1,0.751779656
2060,BLZ,SSP1,0.755411696
2065,BLZ,SSP1,0.75941813
2070,BLZ,SSP1,0.764519791
2075,BLZ,SSP1,0.770107992
2080,BLZ,SSP1,NA
2085,BLZ,SSP1,NA
2090,BLZ,SSP1,NA
2095,BLZ,SSP1,NA
2010,BOL,SSP1,0.602296598
2015,BOL,SSP1,0.621952886
2020,BOL,SSP1,0.64165581
2025,BOL,SSP1,0.660704985
2030,BOL,SSP1,0.679996856
2035,BOL,SSP1,0.698419779
2040,BOL,SSP1,0.717247939
2045,BOL,SSP1,0.733445883
2050,BOL,SSP1,0.746110373
2055,BOL,SSP1,0.754692045
2060,BOL,SSP1,0.759552199
2065,BOL,SSP1,0.764035207
2070,BOL,SSP1,0.767469148
2075,BOL,SSP1,0.770240603
2080,BOL,SSP1,NA
2085,BOL,SSP1,NA
2090,BOL,SSP1,NA
2095,BOL,SSP1,NA
2010,BRA,SSP1,0.652506154
2015,BRA,SSP1,0.669345101
2020,BRA,SSP1,0.690181286
2025,BRA,SSP1,0.708846808
2030,BRA,SSP1,0.725338207
2035,BRA,SSP1,0.740287844
2040,BRA,SSP1,0.754999404
2045,BRA,SSP1,0.767631841
2050,BRA,SSP1,0.776567167
2055,BRA,SSP1,0.782182245
