year,countrycode,scenario,hdi.proj
2080,BEL,SSP2,NA
2085,BEL,SSP2,NA
2090,BEL,SSP2,NA
2095,BEL,SSP2,NA
2010,BEN,SSP2,0.363161035
2015,BEN,SSP2,0.384586362
2020,BEN,SSP2,0.404240584
2025,BEN,SSP2,0.425920766
2030,BEN,SSP2,0.446831295
2035,BEN,SSP2,0.467153298
2040,BEN,SSP2,0.486597884
2045,BEN,SSP2,0.505417819
2050,BEN,SSP2,0.524341885
2055,BEN,SSP2,0.541907232
2060,BEN,SSP2,0.558367459
2065,BEN,SSP2,0.574806272
2070,BEN,SSP2,0.590316654
2075,BEN,SSP2,0.605520749
2080,BEN,SSP2,NA
2085,BEN,SSP2,NA
2090,BEN,SSP2,NA
2095,BEN,SSP2,NA
2010,BFA,SSP2,0.299346254
2015,BFA,SSP2,0.318310365
2020,BFA,SSP2,0.335616331
2025,BFA,SSP2,0.355413108
2030,BFA,SSP2,0.377133349
2035,BFA,SSP2,0.398415062
2040,BFA,SSP2,0.420341835
2045,BFA,SSP2,0.441586318
2050,BFA,SSP2,0.46345246
2055,BFA,SSP2,0.484556728
2060,BFA,SSP2,0.505920216
2065,BFA,SSP2,0.526783562
2070,BFA,SSP2,0.547470572
2075,BFA,SSP2,0.567082832
2080,BFA,SSP2,NA
2085,BFA,SSP2,NA
2090,BFA,SSP2,NA
2095,BFA,SSP2,NA
2010,BGD,SSP2,0.471843158
2015,BGD,SSP2,0.49334317
2020,BGD,SSP2,0.51499861
2025,BGD,SSP2,0.534217563
2030,BGD,SSP2,0.552135756
2035,BGD,SSP2,0.568986458
2040,BGD,SSP2,0.586275691
2045,BGD,SSP2,0.603166696
2050,BGD,SSP2,0.619222867
2055,BGD,SSP2,0.633855582
2060,BGD,SSP2,0.647903965
2065,BGD,SSP2,0.661575251
2070,BGD,SSP2,0.674410743
2075,BGD,SSP2,0.687240285
2080,BGD,SSP2,NA
2085,BGD,SSP2,NA
2090,BGD,SSP2,NA
2095,BGD,SSP2,NA
2010,BGR,SSP2,0.724628953
2015,BGR,SSP2,0.739069237
2020,BGR,SSP2,0.754060378
2025,BGR,SSP2,0.766330327
2030,BGR,SSP2,0.774998214
2035,BGR,SSP2,0.781793554
2040,BGR,SSP2,0.78854109
2045,BGR,SSP2,0.793114599
2050,BGR,SSP2,0.797288933
2055,BGR,SSP2,0.799181363
2060,BGR,SSP2,0.801259231
2065,BGR,SSP2,0.803441784
2070,BGR,SSP2,0.805656914
2075,BGR,SSP2,0.807573645
2080,BGR,SSP2,NA
2085,BGR,SSP2,NA
2090,BGR,SSP2,NA
2095,BGR,SSP2,NA
2010,BHR,SSP2,0.743981455
2015,BHR,SSP2,0.759411666
2020,BHR,SSP2,0.777258108
2025,BHR,SSP2,0.788518573
2030,BHR,SSP2,0.797844694
2035,BHR,SSP2,0.805503022
2040,BHR,SSP2,0.81312948
2045,BHR,SSP2,0.819379256
2050,BHR,SSP2,0.824121357
2055,BHR,SSP2,0.826844918
2060,BHR,SSP2,0.828891464
2065,BHR,SSP2,0.830754893
2070,BHR,SSP2,0.832542389
2075,BHR,SSP2,0.834316909
2080,BHR,SSP2,NA
2085,BHR,SSP2,NA
2090,BHR,SSP2,NA
2095,BHR,SSP2,NA
2010,BHS,SSP2,0.740443856
2015,BHS,SSP2,0.745755467
2020,BHS,SSP2,0.752901782
2025,BHS,SSP2,0.762192552
2030,BHS,SSP2,0.771849631
2035,BHS,SSP2,0.7793302
2040,BHS,SSP2,0.785795877
2045,BHS,SSP2,0.79128228
2050,BHS,SSP2,0.796048836
2055,BHS,SSP2,0.799171179
2060,BHS,SSP2,0.801871066
2065,BHS,SSP2,0.804985232
2070,BHS,SSP2,0.808475895
2075,BHS,SSP2,0.811710216
2080,BHS,SSP2,NA
2085,BHS,SSP2,NA
2090,BHS,SSP2,NA
2095,BHS,SSP2,NA
2010,BIH,SSP2,0.702463362
2015,BIH,SSP2,0.726374505
2020,BIH,SSP2,0.756007112
2025,BIH,SSP2,0.776879525
2030,BIH,SSP2,0.791279951
2035,BIH,SSP2,0.802192835
2040,BIH,SSP2,0.811255569
2045,BIH,SSP2,0.818044961
2050,BIH,SSP2,0.823725178
2055,BIH,SSP2,0.827266368
2060,BIH,SSP2,0.830024193
2065,BIH,SSP2,0.832820285
2070,BIH,SSP2,0.835832117
2075,BIH,SSP2,0.839074689
2080,BIH,SSP2,NA
2085,BIH,SSP2,NA
2090,BIH,SSP2,NA
2095,BIH,SSP2,NA
2010,BLR,SSP2,0.714006628
2015,BLR,SSP2,0.73403088
2020,BLR,SSP2,0.751422083
2025,BLR,SSP2,0.762280901
2030,BLR,SSP2,0.769459453
2035,BLR,SSP2,0.774204254
2040,BLR,SSP2,0.77890414
2045,BLR,SSP2,0.782477861
2050,BLR,SSP2,0.785921394
2055,BLR,SSP2,0.787274571
2060,BLR,SSP2,0.78830767
2065,BLR,SSP2,0.789741026
2070,BLR,SSP2,0.791507488
2075,BLR,SSP2,0.79368152
2080,BLR,SSP2,NA
2085,BLR,SSP2,NA
2090,BLR,SSP2,NA
2095,BLR,SSP2,NA
2010,BLZ,SSP2,0.597078642
2015,BLZ,SSP2,0.609000654
2020,BLZ,SSP2,0.623290442
2025,BLZ,SSP2,0.639265523
2030,BLZ,SSP2,0.65380901
2035,BLZ,SSP2,0.666144009
2040,BLZ,SSP2,0.678551733
2045,BLZ,SSP2,0.688979589
2050,BLZ,SSP2,0.698983079
2055,BLZ,SSP2,0.707595016
2060,BLZ,SSP2,0.715638358
2065,BLZ,SSP2,0.723857079
2070,BLZ,SSP2,0.732031059
2075,BLZ,SSP2,0.74002086
2080,BLZ,SSP2,NA
2085,BLZ,SSP2,NA
2090,BLZ,SSP2,NA
2095,BLZ,SSP2,NA
2010,BOL,SSP2,0.591905464
2015,BOL,SSP2,0.609217837
2020,BOL,SSP2,0.624820269
2025,BOL,SSP2,0.639359793
2030,BOL,SSP2,0.654244066
2035,BOL,SSP2,0.669509923
2040,BOL,SSP2,0.684197511
2045,BOL,SSP2,0.697596596
2050,BOL,SSP2,0.709845006
2055,BOL,SSP2,0.719541261
2060,BOL,SSP2,0.72829358
2065,BOL,SSP2,0.735948168
2070,BOL,SSP2,0.742867336
2075,BOL,SSP2,0.749166677
2080,BOL,SSP2,NA
2085,BOL,SSP2,NA
2090,BOL,SSP2,NA
2095,BOL,SSP2,NA
2010,BRA,SSP2,0.644558119
2015,BRA,SSP2,0.66106701
2020,BRA,SSP2,0.67940953
2025,BRA,SSP2,0.695623415
2030,BRA,SSP2,0.709837136
2035,BRA,SSP2,0.72198277
2040,BRA,SSP2,0.733719549
2045,BRA,SSP2,0.744187243
2050,BRA,SSP2,0.754253495
2055,BRA,SSP2,0.761883892
2060,BRA,SSP2,0.767662092
2065,BRA,SSP2,0.773327556
2070,BRA,SSP2,0.777962764
2075,BRA,SSP2,0.782508003
2080,BRA,SSP2,NA
2085,BRA,SSP2,NA
2090,BRA,SSP2,NA
2095,BRA,SSP2,NA
2010,BTN,SSP2,0.511034225
2015,BTN,SSP2,0.552660967
2020,BTN,SSP2,0.599125289
2025,BTN,SSP2,0.636296011
2030,BTN,SSP2,0.665593847
2035,BTN,SSP2,0.687328127
2040,BTN,SSP2,0.706321414
2045,BTN,SSP2,0.722406056
2050,BTN,SSP2,0.737935007
2055,BTN,SSP2,0.751251825
2060,BTN,SSP2,0.763121305
2065,BTN,SSP2,0.774644005
2070,BTN,SSP2,0.784873253
2075,BTN,SSP2,0.794262149
2080,BTN,SSP2,NA
2085,BTN,SSP2,NA
2090,BTN,SSP2,NA
2095,BTN,SSP2,NA
2010,CAF,SSP2,0.320534724
2015,CAF,SSP2,0.345185933
2020,CAF,SSP2,0.368045589
2025,CAF,SSP2,0.388745984
2030,CAF,SSP2,0.408857672
2035,CAF,SSP2,0.428242311
2040,CAF,SSP2,0.447306969
2045,CAF,SSP2,0.466220924
2050,CAF,SSP2,0.485287681
2055,CAF,SSP2,0.503711698
2060,CAF,SSP2,0.521689464
2065,CAF,SSP2,0.539454696
2070,CAF,SSP2,0.557223113
2075,CAF,SSP2,0.574651493
2080,CAF,SSP2,NA
2085,CAF,SSP2,NA
2090,CAF,SSP2,NA
2095,CAF,SSP2,NA
2010,CAN,SSP2,0.871168059
2015,CAN,SSP2,0.875149811
2020,CAN,SSP2,0.882423395
2025,CAN,SSP2,0.890249985
2030,CAN,SSP2,0.89652623
2035,CAN,SSP2,0.901634238
2040,CAN,SSP2,0.905999654
2045,CAN,SSP2,0.907971211
2050,CAN,SSP2,0.909389238
2055,CAN,SSP2,0.90883565
2060,CAN,SSP2,0.908032291
2065,CAN,SSP2,0.907459283
2070,CAN,SSP2,0.90714986
2075,CAN,SSP2,0.906963539
2080,CAN,SSP2,NA
2085,CAN,SSP2,NA
2090,CAN,SSP2,NA
2095,CAN,SSP2,NA
2010,CHE,SSP2,0.868825178
2015,CHE,SSP2,0.873316995
2020,CHE,SSP2,0.879214387
2025,CHE,SSP2,0.885137687
2030,CHE,SSP2,0.889877752
2035,CHE,SSP2,0.893927007
2040,CHE,SSP2,0.898792436
2045,CHE,SSP2,0.901914922
2050,CHE,SSP2,0.904410681
2055,CHE,SSP2,0.905139885
2060,CHE,SSP2,0.905504678
2065,CHE,SSP2,0.90623342
2070,CHE,SSP2,0.907240843
2075,CHE,SSP2,0.908360892
2080,CHE,SSP2,NA
2085,CHE,SSP2,NA
2090,CHE,SSP2,NA
2095,CHE,SSP2,NA
2010,CHL,SSP2,0.759159189
2015,CHL,SSP2,0.770848353
2020,CHL,SSP2,0.782237846
2025,CHL,SSP2,0.793784853
2030,CHL,SSP2,0.804630376
2035,CHL,SSP2,0.814188538
2040,CHL,SSP2,0.82324864
2045,CHL,SSP2,0.830154577
2050,CHL,SSP2,0.835638286
2055,CHL,SSP2,0.838649264
2060,CHL,SSP2,0.840768765
2065,CHL,SSP2,0.842600391
2070,CHL,SSP2,0.844570337
2075,CHL,SSP2,0.846665124
2080,CHL,SSP2,NA
2085,CHL,SSP2,NA
2090,CHL,SSP2,NA
2095,CHL,SSP2,NA
2010,CHN,SSP2,0.638836487
2015,CHN,SSP2,0.669970391
2020,CHN,SSP2,0.700968828
2025,CHN,SSP2,0.723861429
2030,CHN,SSP2,0.740184401
2035,CHN,SSP2,0.752823128
2040,CHN,SSP2,0.763565409
2045,CHN,SSP2,0.772273542
2050,CHN,SSP2,0.779193258
2055,CHN,SSP2,0.783787619
2060,CHN,SSP2,0.787640824
2065,CHN,SSP2,0.79140402
2070,CHN,SSP2,0.794941876
2075,CHN,SSP2,0.798397304
2080,CHN,SSP2,NA
2085,CHN,SSP2,NA
2090,CHN,SSP2,NA
2095,CHN,SSP2,NA
2010,CIV,SSP2,0.389555912
2015,CIV,SSP2,0.413047065
2020,CIV,SSP2,0.432281179
2025,CIV,SSP2,0.452822641
2030,CIV,SSP2,0.474554371
2035,CIV,SSP2,0.497259579
2040,CIV,SSP2,0.520178773
2045,CIV,SSP2,0.542636285
2050,CIV,SSP2,0.564679355
2055,CIV,SSP2,0.584326826
2060,CIV,SSP2,0.602600931
2065,CIV,SSP2,0.619300498
2070,CIV,SSP2,0.635189218
2075,CIV,SSP2,0.649646617
2080,CIV,SSP2,NA
2085,CIV,SSP2,NA
2090,CIV,SSP2,NA
2095,CIV,SSP2,NA
2010,CMR,SSP2,0.440201802
2015,CMR,SSP2,0.460595722
2020,CMR,SSP2,0.480017132
2025,CMR,SSP2,0.499697783
2030,CMR,SSP2,0.51941751
2035,CMR,SSP2,0.538075276
2040,CMR,SSP2,0.555943397
2045,CMR,SSP2,0.572916216
2050,CMR,SSP2,0.588933006
2055,CMR,SSP2,0.603790933
2060,CMR,SSP2,0.617920436
2065,CMR,SSP2,0.631421449
2070,CMR,SSP2,0.644489808
2075,CMR,SSP2,0.657163348
2080,CMR,SSP2,NA
2085,CMR,SSP2,NA
2090,CMR,SSP2,NA
2095,CMR,SSP2,NA
2010,COD,SSP2,0.272657688
2015,COD,SSP2,0.334942987
2020,COD,SSP2,0.410509139
2025,COD,SSP2,0.471884313
2030,COD,SSP2,0.513706158
2035,COD,SSP2,0.543912148
2040,COD,SSP2,0.566484788
2045,COD,SSP2,0.585101799
2050,COD,SSP2,0.601682565
2055,COD,SSP2,0.61528339
2060,COD,SSP2,0.627548519
2065,COD,SSP2,0.639920827
2070,COD,SSP2,0.651611019
2075,COD,SSP2,0.663146982
2080,COD,SSP2,NA
2085,COD,SSP2,NA
2090,COD,SSP2,NA
2095,COD,SSP2,NA
2010,COG,SSP2,0.500357144
2015,COG,SSP2,0.520605414
2020,COG,SSP2,0.548087676
2025,COG,SSP2,0.575153765
2030,COG,SSP2,0.596200618
2035,COG,SSP2,0.612423891
2040,COG,SSP2,0.625539588
2045,COG,SSP2,0.636612481
2050,COG,SSP2,0.647985429
2055,COG,SSP2,0.658104063
2060,COG,SSP2,0.66815601
2065,COG,SSP2,0.677650797
2070,COG,SSP2,0.687374004
2075,COG,SSP2,0.696564424
2080,COG,SSP2,NA
2085,COG,SSP2,NA
2090,COG,SSP2,NA
2095,COG,SSP2,NA
2010,COL,SSP2,0.661357698
2015,COL,SSP2,0.678204786
2020,COL,SSP2,0.695242786
2025,COL,SSP2,0.710670094
2030,COL,SSP2,0.724408757
2035,COL,SSP2,0.736370733
2040,COL,SSP2,0.747867778
2045,COL,SSP2,0.758972748
2050,COL,SSP2,0.769018769
2055,COL,SSP2,0.776597527
2060,COL,SSP2,0.782625718
2065,COL,SSP2,0.787594253
2070,COL,SSP2,0.791721431
2075,COL,SSP2,0.795199199
2080,COL,SSP2,NA
2085,COL,SSP2,NA
2090,COL,SSP2,NA
2095,COL,SSP2,NA
2010,COM,SSP2,0.408831283
2015,COM,SSP2,0.423555416
2020,COM,SSP2,0.442017201
2025,COM,SSP2,0.462860021
2030,COM,SSP2,0.483032369
2035,COM,SSP2,0.501876076
2040,COM,SSP2,0.52076373
2045,COM,SSP2,0.539633321
2050,COM,SSP2,0.558628615
2055,COM,SSP2,0.575832451
2060,COM,SSP2,0.591653676
2065,COM,SSP2,0.60636659
2070,COM,SSP2,0.620382396
2075,COM,SSP2,0.633139728
2080,COM,SSP2,NA
2085,COM,SSP2,NA
2090,COM,SSP2,NA
2095,COM,SSP2,NA
2010,CPV,SSP2,0.542063992
2015,CPV,SSP2,0.563997972
2020,CPV,SSP2,0.584220922
2025,CPV,SSP2,0.597316761
2030,CPV,SSP2,0.607538446
2035,CPV,SSP2,0.616940916
2040,CPV,SSP2,0.62730255
2045,CPV,SSP2,0.63747949
2050,CPV,SSP2,0.647878789
2055,CPV,SSP2,0.656865748
2060,CPV,SSP2,0.665454118
2065,CPV,SSP2,0.674415523
2070,CPV,SSP2,0.683325359
2075,CPV,SSP2,0.692792842
2080,CPV,SSP2,NA
2085,CPV,SSP2,NA
2090,CPV,SSP2,NA
2095,CPV,SSP2,NA
2010,CRI,SSP2,0.686420875
2015,CRI,SSP2,0.697592741
2020,CRI,SSP2,0.708394795
2025,CRI,SSP2,0.717903314
2030,CRI,SSP2,0.726219913
2035,CRI,SSP2,0.733587013
2040,CRI,SSP2,0.741359385
2045,CRI,SSP2,0.74842401
2050,CRI,SSP2,0.755588014
2055,CRI,SSP2,0.760528723
2060,CRI,SSP2,0.765401226
2065,CRI,SSP2,0.770505086
2070,CRI,SSP2,0.776330784
2075,CRI,SSP2,0.782843154
2080,CRI,SSP2,NA
2085,CRI,SSP2,NA
2090,CRI,SSP2,NA
2095,CRI,SSP2,NA
2010,CUB,SSP2,0.693769851
2015,CUB,SSP2,0.707393401
2020,CUB,SSP2,0.723718566
2025,CUB,SSP2,0.736146214
2030,CUB,SSP2,0.746276244
2035,CUB,SSP2,0.753969647
2040,CUB,SSP2,0.760972473
2045,CUB,SSP2,0.765767301
2050,CUB,SSP2,0.769861074
2055,CUB,SSP2,0.772304788
2060,CUB,SSP2,0.774046345
2065,CUB,SSP2,0.776458813
2070,CUB,SSP2,0.779111478
2075,CUB,SSP2,0.781601513
2080,CUB,SSP2,NA
2085,CUB,SSP2,NA
2090,CUB,SSP2,NA
2095,CUB,SSP2,NA
2010,CYP,SSP2,0.82148573
2015,CYP,SSP2,0.835229687
2020,CYP,SSP2,0.852988572
2025,CYP,SSP2,0.868884097
2030,CYP,SSP2,0.879705633
2035,CYP,SSP2,0.887230892
2040,CYP,SSP2,0.893801559
2045,CYP,SSP2,0.897484204
2050,CYP,SSP2,0.899993157
2055,CYP,SSP2,0.900298202
2060,CYP,SSP2,0.900225842
2065,CYP,SSP2,0.900261723
2070,CYP,SSP2,0.900493977
2075,CYP,SSP2,0.900964405
2080,CYP,SSP2,NA
2085,CYP,SSP2,NA
2090,CYP,SSP2,NA
2095,CYP,SSP2,NA
2010,CZE,SSP2,0.806670778
2015,CZE,SSP2,0.81330115
2020,CZE,SSP2,0.818017062
2025,CZE,SSP2,0.822038368
2030,CZE,SSP2,0.826312156
2035,CZE,SSP2,0.831084562
2040,CZE,SSP2,0.836572191
2045,CZE,SSP2,0.840697933
2050,CZE,SSP2,0.843203524
2055,CZE,SSP2,0.843987448
2060,CZE,SSP2,0.844555642
2065,CZE,SSP2,0.845668499
2070,CZE,SSP2,0.847237145
2075,CZE,SSP2,0.849137305
2080,CZE,SSP2,NA
2085,CZE,SSP2,NA
2090,CZE,SSP2,NA
2095,CZE,SSP2,NA
2010,DEU,SSP2,0.867315004
2015,DEU,SSP2,0.871118719
2020,DEU,SSP2,0.874401294
2025,DEU,SSP2,0.878466945
2030,DEU,SSP2,0.881966135
2035,DEU,SSP2,0.885241221
2040,DEU,SSP2,0.889478414
2045,DEU,SSP2,0.892093681
2050,DEU,SSP2,0.894324002
2055,DEU,SSP2,0.895027768
2060,DEU,SSP2,0.895906655
2065,DEU,SSP2,0.896598433
2070,DEU,SSP2,0.897349383
2075,DEU,SSP2,0.898707583
2080,DEU,SSP2,NA
2085,DEU,SSP2,NA
2090,DEU,SSP2,NA
2095,DEU,SSP2,NA
2010,DNK,SSP2,0.824160392
2015,DNK,SSP2,0.827010391
2020,DNK,SSP2,0.830154899
2025,DNK,SSP2,0.83526121
2030,DNK,SSP2,0.839803737
2035,DNK,SSP2,0.843898235
2040,DNK,SSP2,0.848245159
2045,DNK,SSP2,0.851255495
2050,DNK,SSP2,0.853718179
2055,DNK,SSP2,0.854468802
2060,DNK,SSP2,0.854921409
2065,DNK,SSP2,0.855653966
2070,DNK,SSP2,0.856566703
2075,DNK,SSP2,0.857727982
2080,DNK,SSP2,NA
2085,DNK,SSP2,NA
2090,DNK,SSP2,NA
2095,DNK,SSP2,NA
2010,DOM,SSP2,0.67327077
2015,DOM,SSP2,0.689506027
2020,DOM,SSP2,0.705442989
2025,DOM,SSP2,0.716991648
2030,DOM,SSP2,0.728273996
2035,DOM,SSP2,0.739084474
2040,DOM,SSP2,0.750319049
2045,DOM,SSP2,0.760104305
2050,DOM,SSP2,0.768622468
2055,DOM,SSP2,0.774576119
2060,DOM,SSP2,0.779385161
2065,DOM,SSP2,0.783521005
2070,DOM,SSP2,0.787251421
2075,DOM,SSP2,0.790714982
2080,DOM,SSP2,NA
2085,DOM,SSP2,NA
2090,DOM,SSP2,NA
2095,DOM,SSP2,NA
2010,DZA,SSP2,0.660165725
2015,DZA,SSP2,0.676052772
2020,DZA,SSP2,0.6905785
2025,DZA,SSP2,0.705183213
2030,DZA,SSP2,0.720216208
2035,DZA,SSP2,0.734676441
2040,DZA,SSP2,0.748997625
2045,DZA,SSP2,0.761187821
2050,DZA,SSP2,0.771558208
2055,DZA,SSP2,0.779033908
2060,DZA,SSP2,0.784974437
2065,DZA,SSP2,0.790207063
2070,DZA,SSP2,0.795193156
2075,DZA,SSP2,0.799339726
2080,DZA,SSP2,NA
2085,DZA,SSP2,NA
2090,DZA,SSP2,NA
2095,DZA,SSP2,NA
2010,ECU,SSP2,0.668880855
2015,ECU,SSP2,0.68601228
2020,ECU,SSP2,0.705985911
2025,ECU,SSP2,0.724925784
2030,ECU,SSP2,0.741939246
2035,ECU,SSP2,0.756011205
2040,ECU,SSP2,0.768569728
2045,ECU,SSP2,0.778610087
2050,ECU,SSP2,0.788089481
2055,ECU,SSP2,0.795532
2060,ECU,SSP2,0.802504643
2065,ECU,SSP2,0.807949863
2070,ECU,SSP2,0.812623382
2075,ECU,SSP2,0.816706225
2080,ECU,SSP2,NA
2085,ECU,SSP2,NA
2090,ECU,SSP2,NA
2095,ECU,SSP2,NA
2010,EGY,SSP2,0.622660072
2015,EGY,SSP2,0.64410755
2020,EGY,SSP2,0.664948004
2025,EGY,SSP2,0.683821738
2030,EGY,SSP2,0.700827523
2035,EGY,SSP2,0.716992086
2040,EGY,SSP2,0.732401608
2045,EGY,SSP2,0.745344311
2050,EGY,SSP2,0.75644019
2055,EGY,SSP2,0.764612591
2060,EGY,SSP2,0.771375382
2065,EGY,SSP2,0.777181658
2070,EGY,SSP2,0.782330405
2075,EGY,SSP2,0.786849869
2080,EGY,SSP2,NA
2085,EGY,SSP2,NA
2090,EGY,SSP2,NA
2095,EGY,SSP2,NA
2010,ESP,SSP2,0.787977566
2015,ESP,SSP2,0.800352661
2020,ESP,SSP2,0.816427554
2025,ESP,SSP2,0.831936814
2030,ESP,SSP2,0.845670985
2035,ESP,SSP2,0.85679547
2040,ESP,SSP2,0.866278212
2045,ESP,SSP2,0.873176526
2050,ESP,SSP2,0.878966851
2055,ESP,SSP2,0.882603108
2060,ESP,SSP2,0.885656266
2065,ESP,SSP2,0.888295753
2070,ESP,SSP2,0.89124944
2075,ESP,SSP2,0.893903287
2080,ESP,SSP2,NA
2085,ESP,SSP2,NA
2090,ESP,SSP2,NA
2095,ESP,SSP2,NA
2010,EST,SSP2,0.778902147
2015,EST,SSP2,0.787657362
2020,EST,SSP2,0.797402568
2025,EST,SSP2,0.806718823
2030,EST,SSP2,0.813687526
2035,EST,SSP2,0.817997396
2040,EST,SSP2,0.822141054
2045,EST,SSP2,0.824470604
2050,EST,SSP2,0.825983006
2055,EST,SSP2,0.826056857
2060,EST,SSP2,0.826185508
2065,EST,SSP2,0.826905143
2070,EST,SSP2,0.82820321
2075,EST,SSP2,0.829893623
2080,EST,SSP2,NA
2085,EST,SSP2,NA
2090,EST,SSP2,NA
2095,EST,SSP2,NA
2010,ETH,SSP2,0.342040032
2015,ETH,SSP2,0.380121741
2020,ETH,SSP2,0.41263148
2025,ETH,SSP2,0.434900532
2030,ETH,SSP2,0.454863857
2035,ETH,SSP2,0.473585187
2040,ETH,SSP2,0.492628006
2045,ETH,SSP2,0.510975639
2050,ETH,SSP2,0.528904684
2055,ETH,SSP2,0.545449449
2060,ETH,SSP2,0.561874808
2065,ETH,SSP2,0.577862652
2070,ETH,SSP2,0.59408266
2075,ETH,SSP2,0.610042701
2080,ETH,SSP2,NA
2085,ETH,SSP2,NA
2090,ETH,SSP2,NA
2095,ETH,SSP2,NA
2010,FIN,SSP2,0.85139041
2015,FIN,SSP2,0.85658687
2020,FIN,SSP2,0.862009437
2025,FIN,SSP2,0.868499423
2030,FIN,SSP2,0.873364106
2035,FIN,SSP2,0.876757586
2040,FIN,SSP2,0.880437406
2045,FIN,SSP2,0.88196962
2050,FIN,SSP2,0.882759266
2055,FIN,SSP2,0.881669396
2060,FIN,SSP2,0.88036502
2065,FIN,SSP2,0.879341414
2070,FIN,SSP2,0.878751419
2075,FIN,SSP2,0.878397733
2080,FIN,SSP2,NA
2085,FIN,SSP2,NA
2090,FIN,SSP2,NA
2095,FIN,SSP2,NA
2010,FRA,SSP2,0.823598556
2015,FRA,SSP2,0.833751851
2020,FRA,SSP2,0.848296402
2025,FRA,SSP2,0.863606804
2030,FRA,SSP2,0.876254815
2035,FRA,SSP2,0.886288358
2040,FRA,SSP2,0.894801871
2045,FRA,SSP2,0.901246644
2050,FRA,SSP2,0.905748302
2055,FRA,SSP2,0.907788951
2060,FRA,SSP2,0.908926336
2065,FRA,SSP2,0.909988335
2070,FRA,SSP2,0.911032135
2075,FRA,SSP2,0.912079192
2080,FRA,SSP2,NA
2085,FRA,SSP2,NA
2090,FRA,SSP2,NA
2095,FRA,SSP2,NA
2010,GAB,SSP2,0.58923985
2015,GAB,SSP2,0.604517854
2020,GAB,SSP2,0.614701509
2025,GAB,SSP2,0.624841653
2030,GAB,SSP2,0.634084975
2035,GAB,SSP2,0.643917689
2040,GAB,SSP2,0.654008676
2045,GAB,SSP2,0.663450586
2050,GAB,SSP2,0.672851981
2055,GAB,SSP2,0.681414131
2060,GAB,SSP2,0.689016665
2065,GAB,SSP2,0.696486086
2070,GAB,SSP2,0.704614135
2075,GAB,SSP2,0.712854358
2080,GAB,SSP2,NA
2085,GAB,SSP2,NA
2090,GAB,SSP2,NA
2095,GAB,SSP2,NA
2010,GBR,SSP2,0.815788697
2015,GBR,SSP2,0.825320339
2020,GBR,SSP2,0.839371917
2025,GBR,SSP2,0.854962233
2030,GBR,SSP2,0.868163316
2035,GBR,SSP2,0.879175256
2040,GBR,SSP2,0.889020461
2045,GBR,SSP2,0.896340093
2050,GBR,SSP2,0.902135824
2055,GBR,SSP2,0.905444355
2060,GBR,SSP2,0.908095996
2065,GBR,SSP2,0.910753793
2070,GBR,SSP2,0.913426152
2075,GBR,SSP2,0.916022261
2080,GBR,SSP2,NA
2085,GBR,SSP2,NA
2090,GBR,SSP2,NA
2095,GBR,SSP2,NA
2010,GEO,SSP2,0.709715204
2015,GEO,SSP2,0.74200084
2020,GEO,SSP2,0.789634001
2025,GEO,SSP2,0.820872546
2030,GEO,SSP2,0.835327216
2035,GEO,SSP2,0.840070873
2040,GEO,SSP2,0.842175404
2045,GEO,SSP2,0.842438298
2050,GEO,SSP2,0.843398262
2055,GEO,SSP2,0.843708041
2060,GEO,SSP2,0.844526876
2065,GEO,SSP2,0.845921761
2070,GEO,SSP2,0.84772106
2075,GEO,SSP2,0.849805384
2080,GEO,SSP2,NA
2085,GEO,SSP2,NA
2090,GEO,SSP2,NA
2095,GEO,SSP2,NA
2010,GHA,SSP2,0.479300701
2015,GHA,SSP2,0.496766443
2020,GHA,SSP2,0.513099244
2025,GHA,SSP2,0.528060137
2030,GHA,SSP2,0.543262282
2035,GHA,SSP2,0.559338813
2040,GHA,SSP2,0.5758181
2045,GHA,SSP2,0.592515382
2050,GHA,SSP2,0.609094276
2055,GHA,SSP2,0.62426456
2060,GHA,SSP2,0.63894792
2065,GHA,SSP2,0.652524079
2070,GHA,SSP2,0.665455667
2075,GHA,SSP2,0.677855412
2080,GHA,SSP2,NA
2085,GHA,SSP2,NA
2090,GHA,SSP2,NA
2095,GHA,SSP2,NA
2010,GIN,SSP2,0.311555159
2015,GIN,SSP2,0.332555932
2020,GIN,SSP2,0.354972569
2025,GIN,SSP2,0.381768053
2030,GIN,SSP2,0.409384537
2035,GIN,SSP2,0.436131898
2040,GIN,SSP2,0.461352547
2045,GIN,SSP2,0.485358915
2050,GIN,SSP2,0.507447066
2055,GIN,SSP2,0.527609896
2060,GIN,SSP2,0.546132956
2065,GIN,SSP2,0.563392377
2070,GIN,SSP2,0.579884074
2075,GIN,SSP2,0.595838205
2080,GIN,SSP2,NA
2085,GIN,SSP2,NA
2090,GIN,SSP2,NA
2095,GIN,SSP2,NA
2010,GMB,SSP2,0.429671885
2015,GMB,SSP2,0.458297049
2020,GMB,SSP2,0.48467819
2025,GMB,SSP2,0.506396285
2030,GMB,SSP2,0.525901485
2035,GMB,SSP2,0.54358014
2040,GMB,SSP2,0.560509298
2045,GMB,SSP2,0.575693918
2050,GMB,SSP2,0.590376367
2055,GMB,SSP2,0.603231517
2060,GMB,SSP2,0.615080716
2065,GMB,SSP2,0.626344579
2070,GMB,SSP2,0.637550287
2075,GMB,SSP2,0.648126009
2080,GMB,SSP2,NA
