"","scenario","country or area","1950","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"16","SSP1","SSD",8.865,8.806,8.748,8.69,8.633,8.576,8.519,9.844,13.276,15.873,16.504,17.154,17.86,20.04164341,22.42083561,24.82883772,27.38328181,30.02033878,32.70049648,35.32694208,38.06176836,40.91379159,43.82187144,46.62475602,49.51298505,52.36129221,55.06730876,57.66731044,60.30134522,62.9345932,65.43858072
"17","SSP1","UGA",2.82,3.532,4.417,5.509,6.664,7.04,7.534,9.152,11.076,12.846,14.786,16.96,19.383,21.95528336,24.64503759,27.60531309,30.69898108,33.89835049,37.09374286,40.29979813,43.59111985,46.78174691,50.06290288,53.29986409,56.38600692,59.30876047,62.09388078,64.75001948,67.22047402,69.52521653,71.73150334
"18","SSP1","TZA",3.491,4.409,5.246,6.03,7.852,11.146,14.555,16.767,18.884,20.543,22.309,24.845,28.114,31.31928687,34.59274339,37.88768932,41.23810405,44.71221581,48.03293493,51.3081698,54.51090215,57.63494818,60.53534656,63.42051633,66.10623368,68.57900633,70.89306658,73.0246072,74.93028149,76.5630757,78.0129725
"19","SSP1","ZMB",11.5,14.509,18.145,23.372,30.351,34.934,39.815,39.655,39.407,37.104,34.802,36.911,39.355,42.07703633,44.80630512,47.50251381,50.27717923,53.10429166,55.80812879,58.33123466,60.86923345,63.39650502,65.77325551,68.00482497,70.05239195,71.97523847,73.82214156,75.4071084,76.86163548,78.13238677,79.27059653
"20","SSP1","ZWE",10.644,11.59,12.608,14.62,17.362,19.873,22.371,25.414,28.988,31.732,33.758,34.11,33.196,35.84246891,38.61111086,41.45521689,44.34336554,47.15653866,49.99710192,52.8127267,55.52007978,58.09843284,60.66767336,63.26706224,65.72586731,67.96334311,70.07517956,72.13215192,73.92802949,75.54720427,77.09070067
"21","SSP1","AGO",7.576,8.902,10.435,12.504,14.957,19.128,24.298,30.338,37.144,44.169,50.087,56,59.783,63.04075718,66.18729437,69.02402443,71.75329389,74.22627983,76.37281198,78.1581606,79.71791951,80.99552756,82.14860704,83.261538,84.17519249,85.02089097,86.65402399,88.19418921,89.58288361,90.90999811,92.05254641
"22","SSP1","CMR",9.333,11.434,13.937,16.88,20.3,27.292,31.921,36.232,39.657,42.573,45.542,48.541,51.559,54.82581465,58.02756071,61.06786401,63.91591417,66.60346498,69.08143895,71.41093237,73.61366488,75.45689819,77.11471101,78.49191289,79.72201992,80.83960305,81.88633646,82.77768461,83.65931753,84.44512956,85.11960759
"23","SSP1","CAF",14.418,17.072,20.1,23.519,27.492,31.971,33.874,35.532,36.825,37.231,37.639,38.069,38.904,41.61200389,44.33912763,47.08125138,49.8337206,52.60661279,55.26464398,57.81164269,60.35730801,62.90264927,65.34315679,67.53833202,69.58895324,71.54398772,73.35734749,74.97524275,76.46999845,77.78062297,78.97473355
"24","SSP1","TCD",4.5,5.495,6.695,8.406,11.568,15.566,18.787,19.779,20.811,21.473,21.637,21.801,21.985,24.40809248,26.94704642,29.50572179,32.22027103,34.93747835,37.77296725,40.5905224,43.50187461,46.36203887,49.2246161,52.07773017,54.8324067,57.41126776,60.02867719,62.62374636,65.13640895,67.41760939,69.63231332
"25","SSP1","COG",24.926,28.143,31.601,35.273,39.129,43.264,47.857,52.221,54.324,56.413,58.695,60.988,63.256,65.83396725,68.23515991,70.48725094,72.5457154,74.46515935,76.14440702,77.58644957,78.83855886,79.9766614,81.03261502,82.02682023,82.93511898,83.77069172,84.52706304,85.17733452,86.70377608,88.23538034,89.57285244
"26","SSP1","COD",19.1,20.654,22.3,23.434,24.608,25.821,27.072,28.513,30.633,32.838,35.122,37.481,40.013,42.78928721,45.50518112,48.2904251,51.02535999,53.83787275,56.49133112,59.04129097,61.55849473,64.07311901,66.40784969,68.57331537,70.61438767,72.55160745,74.35534873,75.93989881,77.36395662,78.60381331,79.70447591
"27","SSP1","GNQ",15.463,20.355,25.537,26.502,26.954,27.41,27.872,29.94,34.745,40.494,49.092,57.74,65.94,68.68750742,71.30496705,73.67983933,75.72825191,77.49502282,78.99045055,80.2720229,81.41785154,82.51803073,83.52784114,84.41161906,85.17321466,86.78905152,88.30638362,89.68179664,90.98857253,92.04617536,93.07669766
"28","SSP1","GAB",11.4,14.135,17.398,23.775,32,42.971,54.682,62.402,69.143,74.797,78.879,82.452,85.533,88.00523601,89.92907489,91.51311925,92.84053941,94.30526635,95.50424253,96.45841024,97.01452078,97.90707852,98.53779559,98.98045714,99.28993724,99.50599725,99.67698151,99.78893432,99.86205783,99.90988691,99.9411176
"29","SSP1","STP",13.49,14.735,16.073,21.833,29.518,31.639,33.482,38.049,43.648,48.631,53.424,59.165,64.952,67.75841568,70.34864148,72.75250806,74.92043232,76.71819286,78.34684468,79.68633277,80.91716991,82.07775422,83.11470883,83.94844965,84.73388211,85.45371751,87.04421812,88.57762487,89.88923555,91.17009313,92.20113151
"30","SSP1","DZA",22.213,26.149,30.51,37.643,39.5,40.33,43.542,47.968,52.085,55.997,59.919,63.83,67.54,69.92692184,72.26649013,74.39231695,76.25605135,77.83018497,79.12814941,80.35151529,81.47372593,82.45421696,83.38765104,84.17980465,84.8927579,85.53273823,87.11702426,88.55100767,89.86678658,91.06704941,92.09497922
"31","SSP1","EGY",31.928,34.837,37.864,39.686,41.477,43.291,43.858,43.938,43.478,42.814,42.797,43.027,43.019,45.72154289,48.4748969,51.22254446,53.90872007,56.5018101,59.05190451,61.57008419,64.08755103,66.4289664,68.60021631,70.63361496,72.48299702,74.16073647,75.7138726,77.09730352,78.30720024,79.4001029,80.42278154
"32","SSP1","LBY",19.547,23.208,27.323,33.666,49.671,62.785,70.094,75.45,75.723,75.994,76.387,77.08,78.052,79.61696355,80.9390991,82.10638721,83.21828869,84.08740828,84.94445772,85.65646798,87.23004553,88.65117718,89.9542681,91.143438,92.17684835,93.19947141,94.13039493,94.98735513,95.72244014,96.35384267,96.92522503
"33","SSP1","MAR",26.184,27.74,29.357,31.862,34.477,37.714,41.21,44.779,48.391,51.692,53.335,55.174,58.018,60.67707379,63.3524407,65.85532978,68.18683739,70.39211914,72.46658887,74.35043883,76.0439016,77.51865406,78.77332696,79.92969199,80.99911587,81.99935345,82.91521298,83.75121576,84.51314264,85.16896259,86.78587655
"34","SSP1","SDN",6.824,8.584,10.746,13.373,16.523,18.943,19.959,22.937,28.61,32.232,32.495,32.76,33.089,35.9874082,38.88997346,41.79496003,44.71488549,47.67814866,50.67532996,53.64120764,56.43608627,59.0909668,61.69915287,64.27788419,66.73298749,69.00920067,71.17474852,73.13551427,74.87415509,76.41259984,77.83502678
"35","SSP1","TUN",32.293,35.244,37.511,39.724,43.482,47.588,50.569,53.839,57.946,61.474,63.432,65.237,66.657,68.95629855,71.13931136,73.11017779,74.84375231,76.43309505,77.85010718,79.06824188,80.17668377,81.21311675,82.1884735,83.08336726,83.83643993,84.58980914,85.23008911,86.84114178,88.35434745,89.67851214,90.88714029
"36","SSP1","ESH",31,31.095,31.19,36.185,42.092,59.458,75.688,82.281,84.089,85.522,85.775,86.023,86.268,88.30763873,89.96029204,91.31991238,92.43753431,93.47776301,94.36159938,95.18640831,95.89103679,96.53434175,97.07893902,97.95361934,98.56956214,99.00214973,99.30467653,99.51599455,99.68351143,99.79316882,99.86484154
"37","SSP1","BWA",2.716,2.883,3.06,3.839,7.834,11.884,16.479,26.724,41.933,48.981,53.219,55.944,62.412,65.60280394,68.63185259,71.40083621,73.99811127,76.29495016,78.271513,79.93623018,81.48297232,82.80561199,83.97702866,84.99736996,85.8719277,87.70592315,89.28673987,90.59808312,91.79103494,92.85466437,93.8376573
"38","SSP1","LSO",1.75,2.049,3.512,6.366,8.608,10.822,11.45,11.752,13.967,16.955,19.548,22.249,24.798,27.92248362,31.16035223,34.46892824,37.80611833,41.19407468,44.70944528,48.07877327,51.38900503,54.58354608,57.76972597,60.71766387,63.52965229,66.20080915,68.72431396,71.10377067,73.28333622,75.18263414,76.85123191
"39","SSP1","NAM",13.408,15.526,17.909,20.035,22.292,23.651,25.066,26.366,27.656,29.813,32.373,36.632,41.616,44.53321001,47.48938206,50.49329773,53.45558769,56.28711476,58.96013493,61.55723421,64.17480509,66.64063627,68.93701002,71.15627565,73.12270241,74.85558377,76.44730064,77.85850407,79.06885491,80.18172078,81.21857284
"40","SSP1","ZAF",42.23,44.413,46.619,47.248,47.809,48.109,48.425,49.372,52.037,54.486,56.891,59.536,62.218,64.71196005,66.99363164,69.17002613,71.11538732,72.94244577,74.48330443,76.00305371,77.38316771,78.56717027,79.64118152,80.67333946,81.66242539,82.52782742,83.41414641,84.18333689,84.87762322,85.48791783,87.06657213
"41","SSP1","SWZ",2.2,2.526,3.913,6.494,9.705,14.004,16.478,18.266,20.202,22.286,22.686,22.038,22.48,25.21104696,28.12782837,31.09524357,34.25709736,37.3562883,40.41208225,43.63463911,46.79776482,49.97322088,53.12344757,56.1118268,58.93993968,61.67139241,64.33824226,66.83289144,69.19607116,71.37112774,73.37171073
"42","SSP1","BEN",4.957,6.804,9.275,12.519,16.691,21.904,27.339,30.796,34.485,36.758,38.333,40.543,43.093,46.61807737,50.09204709,53.42514139,56.60285925,59.56387941,62.43495124,65.15865877,67.71099056,70.05563226,72.34380809,74.36034492,76.09998461,77.64578022,78.93697076,80.13901365,81.1951525,82.2017352,83.12780536
"43","SSP1","BFA",3.837,4.247,4.7,5.198,5.746,6.347,8.805,12.334,13.815,15.131,17.844,21.537,24.633,27.70906124,30.90495492,34.2276137,37.53042953,40.85169089,44.27579307,47.59593187,50.88628021,54.1041637,57.26087056,60.23389467,63.1376042,65.81469615,68.36966854,70.69477325,72.87713226,74.86156112,76.54732366
"44","SSP1","CPV",14.2,15.399,16.679,18.073,19.559,21.419,23.518,31.5,44.12,48.768,53.435,57.689,61.821,64.76901691,67.55436662,70.09744377,72.46914198,74.68304814,76.57821647,78.23229519,79.5894804,80.80818766,81.98216809,83.02814157,83.91219572,84.70465524,85.38797127,86.97509616,88.51617899,89.83121275,91.12031405
"45","SSP1","CIV",9.962,13.121,17.679,24.5,28.163,32.229,36.829,37.91,39.345,41.21,43.155,45.234,47.33,50.41527492,53.47410339,56.42282427,59.16311101,61.8175804,64.42398774,66.90103013,69.23853027,71.33743231,73.34864289,75.06249588,76.62610628,78.02646518,79.2165708,80.31661899,81.3168588,82.27710262,83.16401602
"46","SSP1","GMB",10.265,11.163,12.129,14.533,19.496,24.426,28.414,33.019,38.312,43.362,47.868,52.02,55.662,59.01477826,62.0650821,64.92398366,67.55538881,69.98899033,72.34543322,74.48105761,76.32641613,77.93445082,79.26289787,80.47720166,81.61503286,82.63697954,83.56188224,84.3989326,85.11544765,86.74488638,88.27544631
"47","SSP1","GHA",15.444,19.089,23.252,26.067,28.958,30.049,31.163,32.896,36.441,40.14,43.929,47.308,50.713,53.73542153,56.66814828,59.44677353,62.11994073,64.71764936,67.14537563,69.43832187,71.60216332,73.56742425,75.26379343,76.83790077,78.16696915,79.34770426,80.43494467,81.46306646,82.38229826,83.30857635,84.05750822
"48","SSP1","GIN",6.711,8.402,10.472,12.978,15.977,19.515,23.617,26.621,28.026,29.475,30.869,32.257,33.678,36.64165039,39.60274759,42.57404547,45.54057442,48.55748313,51.55649019,54.5028686,57.29352631,59.97638325,62.61561632,65.15579748,67.5155548,69.74667127,71.89668301,73.86057587,75.54566067,77.09760174,78.3942118
"49","SSP1","GNB",10.014,11.688,13.6,14.349,15.132,15.95,17.804,23.704,30.83,34.371,36.243,38.157,40.111,43.36288534,46.53599459,49.72196648,52.88464985,55.87619817,58.81300877,61.58985918,64.28348555,66.7989867,69.16404307,71.32911648,73.34363063,75.10738835,76.67254372,78.11059157,79.29913279,80.39195601,81.4253723
"50","SSP1","LBR",12.97,15.592,18.632,22.108,26.025,30.382,35.167,42.373,55.422,45.96,44.331,46.051,47.813,50.8087185,53.73034697,56.48300981,59.11422156,61.72042958,64.31767324,66.78043377,69.06011394,71.12513156,73.10320038,74.77637723,76.3111301,77.75125262,78.97343359,80.09014362,81.11795724,82.07264729,82.9841611
"51","SSP1","MLI",8.472,9.692,11.066,12.608,14.33,16.244,18.484,21.013,23.322,25.519,28.356,32.06,35.999,39.13273211,42.32177066,45.57075463,48.80575578,51.92188291,54.94809917,57.92628987,60.77734827,63.4902592,66.07563766,68.48240195,70.76861514,72.79857674,74.6673182,76.3328967,77.81247666,79.02607587,80.14573061
"52","SSP1","MRT",3.102,4.638,6.88,10.09,14.564,20.569,27.371,34.994,39.323,38.705,38.091,42.111,46.588,50.36504346,53.8106278,57.18338072,60.31255243,63.33057245,66.12792826,68.7211831,71.16069907,73.42484458,75.38435526,77.09103147,78.5553488,79.82604863,80.99373448,82.08397926,83.05341019,83.8704595,84.66704873
"53","SSP1","NER",4.857,5.306,5.793,6.809,8.794,11.419,13.443,14.536,15.368,15.773,16.186,16.242,16.221,18.2127965,20.41339639,22.82663473,25.24675141,27.7629616,30.37124193,33.02628427,35.6993531,38.49992114,41.35020627,44.28531412,47.06567423,49.93326371,52.77915502,55.48854661,58.10059292,60.74579978,63.36790169
"54","SSP1","NGA",9.35,12.055,15.41,16.551,17.76,19.78,21.97,25.635,29.68,32.205,34.84,39.074,43.48,46.74348168,50.08221615,53.36615635,56.43981537,59.37891593,62.18911928,64.86598529,67.35224277,69.64139918,71.85064673,73.92910494,75.735201,77.29310024,78.60581345,79.75192019,80.79518548,81.85092904,82.74963098
"55","SSP1","SEN",17.23,19.958,23,26.351,30,33.693,35.769,37.549,38.896,39.606,40.32,41.714,43.773,46.51335028,49.29742425,52.09027643,54.84545543,57.42402115,59.95303085,62.44761927,64.90919042,67.13348355,69.27006885,71.20426939,73.08041275,74.70947029,76.2074815,77.60206264,78.76801674,79.88250702,80.96573937
"56","SSP1","SLE",12.56,14.796,17.352,20.379,23.969,27.729,29.819,31.997,33.252,34.429,35.626,36.919,38.856,41.64239457,44.48179279,47.23289599,50.00366234,52.84365142,55.55779381,58.13473059,60.70809891,63.25731499,65.71553632,67.96666111,70.04125379,72.05238942,73.86533894,75.49199618,76.95040766,78.22201906,79.35613855
"57","SSP1","TGO",4.384,6.695,10.098,14.95,21.28,22.927,24.663,26.562,28.589,30.705,32.907,35.185,37.533,40.68959896,44.01258681,47.26652528,50.44926111,53.59794258,56.61795182,59.46909864,62.21909657,64.85476804,67.30156828,69.59076369,71.75251552,73.84018879,75.58446964,77.17266989,78.49780207,79.64297362,80.70190972
"58","SSP1","CHN",11.803,13.856,16.203,18.086,17.4,17.4,19.358,22.874,26.442,30.961,35.877,42.522,49.226,52.63415773,55.87897041,59.03020215,61.97930007,64.76680856,67.46258581,69.853331,72.16391199,74.29678187,76.11619205,77.71562336,79.01970819,80.22205373,81.35285703,82.34622783,83.29391534,84.09105512,84.86183229
"59","SSP1","TAIWAN, CHN",26.842,29.074,31.412,33.857,36.484,39.784,48.718,57.73,66.257,68.381,69.866,72.292,74.687,76.68225286,78.36316596,79.70320092,80.91399197,82.07404078,83.14474559,83.9795027,84.76289617,85.48029705,87.06829058,88.59887124,89.91294164,91.11283444,92.14609834,93.16761899,94.10022831,94.95796323,95.69732716
"60","SSP1","PRK",31,35.463,40.195,45.091,54.2,56.7,56.9,57.644,58.384,59.018,59.412,59.805,60.377,62.9256443,65.36907766,67.57070855,69.62614329,71.58301219,73.39268513,74.97948807,76.40255808,77.7242251,78.86732195,79.97421527,81.05040084,82.00640131,82.91973688,83.762454,84.52151614,85.17130075,86.69663863
"61","SSP1","JPN",53.402,58.421,63.272,67.866,71.877,75.716,76.175,76.712,77.339,78.016,78.649,85.978,90.812,91.96669364,93.00761772,93.97378622,94.84477834,95.59714168,96.24691085,96.83899031,97.78415816,98.44999112,98.91846964,99.2461137,99.47480283,99.65647212,99.77546511,99.85333953,99.90417025,99.93740696,99.95913327
"62","SSP1","MNG",20,26.619,35.679,42.114,45.052,48.656,52.083,55.04,57.033,56.805,57.133,62.494,67.567,69.87760268,72.09777007,74.13323075,75.89251648,77.46415481,78.77274775,79.96344504,81.0243191,82.04916558,82.99491023,83.79231154,84.54791332,85.19441434,86.80766055,88.3282575,89.6537836,90.86834301,91.93643854
"63","SSP1","KOR",21.354,24.392,27.71,32.351,40.704,48.033,56.72,64.876,73.844,78.239,79.621,81.345,81.936,83.19004134,84.31027612,85.37555066,87.26304407,88.8815271,90.22985391,91.47738084,92.57570919,93.59450864,94.47302638,95.28320915,95.9792893,96.60795357,97.14261704,97.99801135,98.60122571,99.02442097,99.3206393
"64","SSP1","KAZ",36.358,40.43,44.198,47.047,50.236,52.564,54.142,56.01,56.266,55.921,56.098,56.463,56.827,59.32968004,61.82455597,64.32585422,66.67649646,68.85825549,70.89742551,72.74580112,74.33221032,75.86453689,77.24659563,78.43965213,79.50881773,80.55137961,81.55334614,82.44568335,83.34104013,84.08607813,84.79466201
"65","SSP1","KGZ",26.481,30.587,34.181,35.851,37.466,38.186,38.627,38.377,37.777,36.349,35.298,35.29,35.306,38.00502319,40.74049937,43.50613317,46.21644956,48.96709598,51.78207289,54.41313231,57.02982426,59.50293735,61.98035436,64.50072222,66.83386305,68.99155917,70.97994508,72.80770843,74.3790983,75.91078088,77.28870406
"66","SSP1","TKM",44.963,45.686,46.412,47.139,47.78,47.557,47.078,45.976,45.075,44.794,45.913,47.052,48.491,51.20375902,53.90331338,56.49468152,59.00850628,61.52227465,64.01250151,66.35702132,68.52062589,70.57459039,72.41913737,74.04891192,75.60834123,77.04666166,78.25427988,79.35298749,80.38191912,81.37318273,82.29336909
"67","SSP1","UZB",28.872,31.592,33.978,35.289,36.714,39.087,40.782,40.722,41.365,43.731,46.126,48.537,50.956,53.70893513,56.33644269,58.8483745,61.36115393,63.86538297,66.22343404,68.39933058,70.4519476,72.3408453,74.0367994,75.59459228,77.04210639,78.30763313,79.4326649,80.48113735,81.48996488,82.39189248,83.29787328
"68","SSP1","AFG",6,7.107,8.401,9.904,11.643,13.641,15.995,18.997,21.177,21.624,22.078,22.703,23.737,26.26290598,28.84568341,31.5511789,34.26491859,37.05783715,39.92381603,42.79285341,45.66314226,48.54714564,51.36452673,54.10304776,56.75327244,59.35961537,61.96876608,64.55390566,66.95860788,69.21636424,71.26996396
