countrycode,year,gii,scenario
COG,2000,0.637318844,Observed
COL,2000,0.488710468,Observed
CPV,2000,0.519798482,Observed
CRI,2000,0.404202282,Observed
CUB,2000,0.36004397,Observed
CYP,2000,0.171318295,Observed
CZE,2000,0.101340151,Observed
DEU,2000,0.051383222,Observed
DNK,2000,0.01,Observed
DOM,2000,0.491046414,Observed
DZA,2000,0.590514658,Observed
ECU,2000,0.492752956,Observed
EGY,2000,0.613265259,Observed
ESP,2000,0.051384327,Observed
EST,2000,0.246956223,Observed
ETH,2000,0.680571868,Observed
FIN,2000,0.013673951,Observed
FRA,2000,0.090232678,Observed
GAB,2000,0.632330629,Observed
GBR,2000,0.16062552,Observed
GEO,2000,0.383581425,Observed
GIN,2000,0.703492897,Observed
GMB,2000,0.748566253,Observed
GNB,2000,0.703769509,Observed
GNQ,2000,0.705120638,Observed
GRC,2000,0.149069747,Observed
GTM,2000,0.580913737,Observed
GUY,2000,0.56139618,Observed
HND,2000,0.525447898,Observed
HRV,2000,0.135259042,Observed
HUN,2000,0.243647628,Observed
IDN,2000,0.555982849,Observed
IND,2000,0.636202756,Observed
IRL,2000,0.146709591,Observed
IRN,2000,0.57580417,Observed
IRQ,2000,0.647690142,Observed
ISL,2000,0.074452787,Observed
ISR,2000,0.13300997,Observed
ITA,2000,0.100553453,Observed
JAM,2000,0.440004085,Observed
JOR,2000,0.606690184,Observed
JPN,2000,0.053449378,Observed
KAZ,2000,0.363654343,Observed
KEN,2000,0.668034633,Observed
KGZ,2000,0.454470528,Observed
KHM,2000,0.576604273,Observed
KOR,2000,0.09817842,Observed
KWT,2000,0.533972601,Observed
LAO,2000,0.566240281,Observed
LBN,2000,0.476430786,Observed
LBR,2000,0.678693374,Observed
LCA,2000,0.428154786,Observed
LSO,2000,0.588965864,Observed
LTU,2000,0.230941545,Observed
LUX,2000,0.097391403,Observed
LVA,2000,0.237452724,Observed
MAR,2000,0.693039217,Observed
MDA,2000,0.370566424,Observed
MDG,2000,0.641475507,Observed
MDV,2000,0.488816858,Observed
MEX,2000,0.450868063,Observed
MKD,2000,0.284809989,Observed
MLI,2000,0.688225383,Observed
MLT,2000,0.236323567,Observed
MNG,2000,0.420877695,Observed
MOZ,2000,0.621333939,Observed
MUS,2000,0.456602075,Observed
MWI,2000,0.666836738,Observed
MYS,2000,0.263215068,Observed
NAM,2000,0.5356377,Observed
NER,2000,0.783515948,Observed
NGA,2000,0.720615086,Observed
NIC,2000,0.577748884,Observed
NLD,2000,0.018762259,Observed
NOR,2000,0.022336055,Observed
NPL,2000,0.647020208,Observed
NZL,2000,0.142737355,Observed
PAN,2000,0.50333395,Observed
PHL,2000,0.487903004,Observed
POL,2000,0.131506324,Observed
PRK,2000,0.088255538,Observed
PRT,2000,0.130600448,Observed
PRY,2000,0.559008751,Observed
RUS,2000,0.395611782,Observed
RWA,2000,0.55680868,Observed
SEN,2000,0.648924765,Observed
SGP,2000,0.18890739,Observed
SLB,2000,0.643744953,Observed
SLE,2000,0.686565627,Observed
SLV,2000,0.498042789,Observed
STP,2000,0.602417043,Observed
SVK,2000,0.156214777,Observed
SWE,2000,0.01,Observed
SWZ,2000,0.658152752,Observed
SYR,2000,0.477218368,Observed
TCD,2000,0.782703311,Observed
TGO,2000,0.672128641,Observed
THA,2000,0.395814258,Observed
TJK,2000,0.398903658,Observed
TKM,2000,0.233912929,Observed
TON,2000,0.654358275,Observed
TUN,2000,0.35435668,Observed
TUR,2000,0.522400576,Observed
UGA,2000,0.632222086,Observed
UKR,2000,0.346350478,Observed
URY,2000,0.353696345,Observed
VCT,2000,0.493629793,Observed
VNM,2000,0.312209739,Observed
VUT,2000,0.727852271,Observed
WSM,2000,0.446140907,Observed
YEM,2000,0.843776628,Observed
ZAF,2000,0.445696748,Observed
ZMB,2000,0.645969505,Observed
ZWE,2000,0.61333161,Observed
AGO,2001,0.671574614,Observed
ALB,2001,0.291642673,Observed
ARE,2001,0.423231272,Observed
ARM,2001,0.431268458,Observed
AUT,2001,0.072176619,Observed
AZE,2001,0.346716465,Observed
BDI,2001,0.618224579,Observed
BEL,2001,0.058636786,Observed
BEN,2001,0.669642096,Observed
BFA,2001,0.660112178,Observed
BGR,2001,0.226667667,Observed
BHS,2001,0.390150511,Observed
BIH,2001,0.27028871,Observed
BLR,2001,0.245786917,Observed
BLZ,2001,0.532470178,Observed
BOL,2001,0.566629102,Observed
BRA,2001,0.482269969,Observed
BTN,2001,0.591176894,Observed
BWA,2001,0.502576834,Observed
CAF,2001,0.696493891,Observed
CAN,2001,0.089532574,Observed
CHE,2001,0.01,Observed
CHL,2001,0.400251839,Observed
CHN,2001,0.207183459,Observed
CIV,2001,0.692270937,Observed
CMR,2001,0.684555237,Observed
COG,2001,0.637538732,Observed
COL,2001,0.488547641,Observed
CPV,2001,0.511138199,Observed
CRI,2001,0.386833837,Observed
CUB,2001,0.352752021,Observed
CYP,2001,0.093842733,Observed
CZE,2001,0.094106473,Observed
DEU,2001,0.048296439,Observed
DOM,2001,0.480145251,Observed
DZA,2001,0.589082147,Observed
ECU,2001,0.490521771,Observed
EGY,2001,0.598563991,Observed
ESP,2001,0.051495516,Observed
EST,2001,0.234359691,Observed
ETH,2001,0.677140096,Observed
FIN,2001,0.015335013,Observed
FJI,2001,0.452704585,Observed
FRA,2001,0.078160083,Observed
GAB,2001,0.635305278,Observed
GBR,2001,0.163251535,Observed
GEO,2001,0.382503181,Observed
GHA,2001,0.592399713,Observed
GIN,2001,0.701485716,Observed
GMB,2001,0.744776216,Observed
GNB,2001,0.701315598,Observed
GNQ,2001,0.69818407,Observed
GRC,2001,0.147581221,Observed
GTM,2001,0.573491903,Observed
GUY,2001,0.559275888,Observed
HND,2001,0.523487593,Observed
HRV,2001,0.104229591,Observed
HTI,2001,0.623957614,Observed
HUN,2001,0.233856674,Observed
IDN,2001,0.558284706,Observed
IND,2001,0.630408864,Observed
IRL,2001,0.156211546,Observed
IRN,2001,0.558960381,Observed
IRQ,2001,0.64066641,Observed
ISL,2001,0.069625538,Observed
ISR,2001,0.126169331,Observed
ITA,2001,0.101536708,Observed
JAM,2001,0.450473857,Observed
JOR,2001,0.639185852,Observed
JPN,2001,0.085780831,Observed
KAZ,2001,0.35582727,Observed
KEN,2001,0.666986003,Observed
KGZ,2001,0.410554049,Observed
KHM,2001,0.582435463,Observed
KOR,2001,0.08338928,Observed
KWT,2001,0.366043171,Observed
LAO,2001,0.560328318,Observed
LBN,2001,0.469328961,Observed
LBR,2001,0.69330461,Observed
LSO,2001,0.63765489,Observed
LTU,2001,0.217568947,Observed
LUX,2001,0.098971374,Observed
LVA,2001,0.2334808,Observed
MAR,2001,0.694617084,Observed
MDA,2001,0.317428142,Observed
MDG,2001,0.640294895,Observed
MDV,2001,0.466993749,Observed
MEX,2001,0.449870681,Observed
MKD,2001,0.269005181,Observed
MLI,2001,0.685275937,Observed
MLT,2001,0.243110176,Observed
MNG,2001,0.405254513,Observed
MOZ,2001,0.616205552,Observed
MUS,2001,0.449099562,Observed
MWI,2001,0.664788653,Observed
MYS,2001,0.278863348,Observed
NAM,2001,0.524220813,Observed
NER,2001,0.781850714,Observed
NGA,2001,0.718456597,Observed
NLD,2001,0.014894701,Observed
NOR,2001,0.018160257,Observed
NPL,2001,0.653217039,Observed
NZL,2001,0.131394946,Observed
PAN,2001,0.497295715,Observed
PER,2001,0.474463673,Observed
PHL,2001,0.468419463,Observed
POL,2001,0.095673203,Observed
PRK,2001,0.075409374,Observed
PRT,2001,0.124901205,Observed
PRY,2001,0.61545853,Observed
ROU,2001,0.360750475,Observed
RUS,2001,0.367957633,Observed
RWA,2001,0.553485906,Observed
SDN,2001,0.689111501,Observed
SEN,2001,0.637239574,Observed
SGP,2001,0.108785442,Observed
SLE,2001,0.685498237,Observed
SLV,2001,0.498250125,Observed
STP,2001,0.598291865,Observed
SUR,2001,0.5383384,Observed
SVK,2001,0.150874758,Observed
SVN,2001,0.045393354,Observed
SWE,2001,0.01,Observed
SWZ,2001,0.686134603,Observed
TCD,2001,0.781582566,Observed
TGO,2001,0.670814129,Observed
THA,2001,0.37532204,Observed
TJK,2001,0.40014914,Observed
TKM,2001,0.226385785,Observed
TON,2001,0.520858366,Observed
TTO,2001,0.417676036,Observed
TUN,2001,0.339601802,Observed
TUR,2001,0.514527195,Observed
TZA,2001,0.615080288,Observed
UGA,2001,0.610853269,Observed
UKR,2001,0.333342469,Observed
URY,2001,0.344796692,Observed
USA,2001,0.23842442,Observed
VEN,2001,0.520590874,Observed
VNM,2001,0.306879911,Observed
VUT,2001,0.618871352,Observed
WSM,2001,0.457573334,Observed
