ccode,year,ssp,hc.source,extreme.Poor,gdp.capita
AGO,2021,SSP1,survey,9720241,6177.79
AGO,2021,SSP2,survey,9720241,6177.79
AGO,2021,SSP3,survey,9720241,6177.79
AGO,2021,SSP4,survey,9720241,6177.79
AGO,2021,SSP5,survey,9720241,6177.79
AGO,2022,SSP1,survey,10237488,6078.1
AGO,2022,SSP2,survey,10237488,6078.1
AGO,2022,SSP3,survey,10237488,6078.1
AGO,2022,SSP4,survey,10237488,6078.1
AGO,2022,SSP5,survey,10237488,6078.1
AGO,2023,SSP1,survey,10376306,6113.45
AGO,2023,SSP2,survey,10493266,6078.34
AGO,2023,SSP3,survey,10570105,6059.93
AGO,2023,SSP4,survey,10574164,6060.42
AGO,2023,SSP5,survey,10328226,6136.73
AGO,2024,SSP1,survey,10516654,6149.02
AGO,2024,SSP2,survey,10755434,6078.59
AGO,2024,SSP3,survey,10913433,6041.82
AGO,2024,SSP4,survey,10921820,6042.79
AGO,2024,SSP5,survey,10418807,6195.92
AGO,2025,SSP1,survey,10658540,6184.79
AGO,2025,SSP2,survey,11024153,6078.84
AGO,2025,SSP3,survey,11267812,6023.76
AGO,2025,SSP4,survey,11280813,6025.22
AGO,2025,SSP5,survey,10509202,6255.69
AGO,2026,SSP1,survey,10764478,6221.49
AGO,2026,SSP2,survey,11303185,6064.14
AGO,2026,SSP3,survey,11654246,5986.73
AGO,2026,SSP4,survey,11647450,5997.93
AGO,2026,SSP5,survey,10523177,6334.04
AGO,2027,SSP1,survey,10871083,6258.4
AGO,2027,SSP2,survey,11589213,6049.48
AGO,2027,SSP3,survey,12053486,5949.94
AGO,2027,SSP4,survey,12025761,5970.76
AGO,2027,SSP5,survey,10535479,6413.38
AGO,2028,SSP1,survey,10978351,6295.54
AGO,2028,SSP2,survey,11882410,6034.85
AGO,2028,SSP3,survey,12465942,5913.36
AGO,2028,SSP4,survey,12416111,5943.72
AGO,2028,SSP5,survey,10546080,6493.71
AGO,2029,SSP1,survey,11086278,6332.89
AGO,2029,SSP2,survey,12182954,6020.26
AGO,2029,SSP3,survey,12892038,5877.02
AGO,2029,SSP4,survey,12818874,5916.79
AGO,2029,SSP5,survey,10554947,6575.04
AGO,2030,SSP1,survey,11194860,6370.47
AGO,2030,SSP2,survey,12491028,6005.7
AGO,2030,SSP3,survey,13329865,5840.89
AGO,2030,SSP4,survey,13234439,5889.99
AGO,2030,SSP5,survey,10562052,6657.4
AGO,2031,SSP1,survey,11267325,6413.36
AGO,2031,SSP2,survey,12792895,5983.52
AGO,2031,SSP3,survey,13788900,5789.25
AGO,2031,SSP4,survey,13632050,5858.08
AGO,2031,SSP5,survey,10516513,6753.18
ALB,2015,SSP1,survey,17421,10571.03
ALB,2015,SSP2,survey,17421,10571.03
ALB,2015,SSP3,survey,17421,10571.03
ALB,2015,SSP4,survey,17421,10571.03
ALB,2015,SSP5,survey,17421,10571.03
ALB,2016,SSP1,survey,15192,10904.33
ALB,2016,SSP2,survey,15192,10904.33
ALB,2016,SSP3,survey,15192,10904.33
ALB,2016,SSP4,survey,15192,10904.33
ALB,2016,SSP5,survey,15192,10904.33
ALB,2017,SSP1,survey,13134,11276.8
ALB,2017,SSP2,survey,13134,11276.8
ALB,2017,SSP3,survey,13134,11276.8
ALB,2017,SSP4,survey,13134,11276.8
ALB,2017,SSP5,survey,13134,11276.8
ALB,2018,SSP1,survey,11178,11707.11
ALB,2018,SSP2,survey,11178,11707.11
ALB,2018,SSP3,survey,11178,11707.11
ALB,2018,SSP4,survey,11178,11707.11
ALB,2018,SSP5,survey,11178,11707.11
ALB,2019,SSP1,survey,9698,12157.69
ALB,2019,SSP2,survey,9698,12157.69
ALB,2019,SSP3,survey,9698,12157.69
ALB,2019,SSP4,survey,9698,12157.69
ALB,2019,SSP5,survey,9698,12157.69
ALB,2020,SSP1,survey,8311,12627.3
ALB,2020,SSP2,survey,8311,12627.3
ALB,2020,SSP3,survey,8311,12627.3
ALB,2020,SSP4,survey,8311,12627.3
ALB,2020,SSP5,survey,8311,12627.3
ALB,2021,SSP1,survey,7168,13118.17
ALB,2021,SSP2,survey,7168,13118.17
ALB,2021,SSP3,survey,7168,13118.17
ALB,2021,SSP4,survey,7168,13118.17
ALB,2021,SSP5,survey,7168,13118.17
ALB,2022,SSP1,survey,6232,13633.43
ALB,2022,SSP2,survey,6232,13633.43
ALB,2022,SSP3,survey,6232,13633.43
ALB,2022,SSP4,survey,6232,13633.43
ALB,2022,SSP5,survey,6232,13633.43
ALB,2023,SSP1,survey,5588,14075.16
ALB,2023,SSP2,survey,5657,14029.32
ALB,2023,SSP3,survey,5765,13965.93
ALB,2023,SSP4,survey,5637,14038.81
ALB,2023,SSP5,survey,5516,14122.5
ALB,2024,SSP1,survey,5025,14531.19
ALB,2024,SSP2,survey,5148,14436.7
ALB,2024,SSP3,survey,5341,14306.53
ALB,2024,SSP4,survey,5111,14456.24
ALB,2024,SSP5,survey,4900,14629.11
ALB,2025,SSP1,survey,4532,15002
ALB,2025,SSP2,survey,4696,14855.91
ALB,2025,SSP3,survey,4957,14655.44
ALB,2025,SSP4,survey,4646,14886.08
ALB,2025,SSP5,survey,4368,15153.89
ALB,2026,SSP1,survey,3993,15525.5
ALB,2026,SSP2,survey,4265,15287.86
ALB,2026,SSP3,survey,4623,14994.25
ALB,2026,SSP4,survey,4177,15345.81
ALB,2026,SSP5,survey,3926,15764.01
ALB,2027,SSP1,survey,3698,16067.27
ALB,2027,SSP2,survey,4004,15732.37
ALB,2027,SSP3,survey,4282,15340.9
ALB,2027,SSP4,survey,3896,15819.74
ALB,2027,SSP5,survey,3435,16398.7
ALB,2028,SSP1,survey,3243,16627.94
ALB,2028,SSP2,survey,3635,16189.81
ALB,2028,SSP3,survey,4123,15695.57
ALB,2028,SSP4,survey,3516,16308.31
ALB,2028,SSP5,survey,3088,17058.94
ALB,2029,SSP1,survey,2935,17208.17
ALB,2029,SSP2,survey,3245,16660.54
ALB,2029,SSP3,survey,3826,16058.43
ALB,2029,SSP4,survey,3263,16811.96
ALB,2029,SSP5,survey,2707,17745.77
ALB,2030,SSP1,survey,2709,17808.66
ALB,2030,SSP2,survey,3148,17144.96
ALB,2030,SSP3,survey,3560,16429.68
ALB,2030,SSP4,survey,2928,17331.17
ALB,2030,SSP5,survey,2446,18460.24
ALB,2031,SSP1,survey,2477,18445.55
ALB,2031,SSP2,survey,2808,17639.22
ALB,2031,SSP3,survey,3414,16797.18
ALB,2031,SSP4,survey,2678,17864.68
ALB,2031,SSP5,survey,2199,19227.13
ARE,2015,SSP1,regression,2677,65948.79
ARE,2015,SSP2,regression,2677,65948.79
ARE,2015,SSP3,regression,2677,65948.79
ARE,2015,SSP4,regression,2677,65948.79
ARE,2015,SSP5,regression,2677,65948.79
ARE,2016,SSP1,regression,2599,66915.23
ARE,2016,SSP2,regression,2599,66915.23
ARE,2016,SSP3,regression,2599,66915.23
ARE,2016,SSP4,regression,2599,66915.23
ARE,2016,SSP5,regression,2599,66915.23
ARE,2017,SSP1,regression,2543,66954.73
ARE,2017,SSP2,regression,2543,66954.73
ARE,2017,SSP3,regression,2543,66954.73
ARE,2017,SSP4,regression,2543,66954.73
ARE,2017,SSP5,regression,2543,66954.73
ARE,2018,SSP1,regression,2462,68824.44
ARE,2018,SSP2,regression,2462,68824.44
ARE,2018,SSP3,regression,2462,68824.44
ARE,2018,SSP4,regression,2462,68824.44
ARE,2018,SSP5,regression,2462,68824.44
ARE,2019,SSP1,regression,2392,70063.03
ARE,2019,SSP2,regression,2392,70063.03
ARE,2019,SSP3,regression,2392,70063.03
ARE,2019,SSP4,regression,2392,70063.03
ARE,2019,SSP5,regression,2392,70063.03
ARE,2020,SSP1,regression,2321,71470.44
ARE,2020,SSP2,regression,2321,71470.44
ARE,2020,SSP3,regression,2321,71470.44
ARE,2020,SSP4,regression,2321,71470.44
ARE,2020,SSP5,regression,2321,71470.44
ARE,2021,SSP1,regression,2249,72846.98
ARE,2021,SSP2,regression,2249,72846.98
ARE,2021,SSP3,regression,2249,72846.98
ARE,2021,SSP4,regression,2249,72846.98
ARE,2021,SSP5,regression,2249,72846.98
ARE,2022,SSP1,regression,2179,74259.89
ARE,2022,SSP2,regression,2179,74259.89
ARE,2022,SSP3,regression,2179,74259.89
ARE,2022,SSP4,regression,2179,74259.89
ARE,2022,SSP5,regression,2179,74259.89
ARE,2023,SSP1,regression,2133,75132.85
ARE,2023,SSP2,regression,2137,74972.3
ARE,2023,SSP3,regression,2123,75277.08
ARE,2023,SSP4,regression,2134,75104.08
ARE,2023,SSP5,regression,2147,74883.62
ARE,2024,SSP1,regression,2087,76016.08
ARE,2024,SSP2,regression,2097,75691.55
ARE,2024,SSP3,regression,2068,76308.2
ARE,2024,SSP4,regression,2090,75957.88
ARE,2024,SSP5,regression,2116,75512.58
ARE,2025,SSP1,regression,2043,76909.69
ARE,2025,SSP2,regression,2057,76417.69
ARE,2025,SSP3,regression,2015,77353.45
ARE,2025,SSP4,regression,2046,76821.37
ARE,2025,SSP5,regression,2085,76146.83
ARE,2026,SSP1,regression,1991,78033.17
ARE,2026,SSP2,regression,2009,77311.79
ARE,2026,SSP3,regression,1957,78546.48
ARE,2026,SSP4,regression,1994,77969.94
ARE,2026,SSP5,regression,2041,77159.25
ARE,2027,SSP1,regression,1940,79173.06
ARE,2027,SSP2,regression,1963,78216.34
ARE,2027,SSP3,regression,1901,79757.9
ARE,2027,SSP4,regression,1943,79135.68
ARE,2027,SSP5,regression,1999,78185.13
ARE,2028,SSP1,regression,1890,80329.61
ARE,2028,SSP2,regression,1917,79131.47
ARE,2028,SSP3,regression,1846,80988.01
ARE,2028,SSP4,regression,1894,80318.86
ARE,2028,SSP5,regression,1958,79224.65
ARE,2029,SSP1,regression,1842,81503.05
ARE,2029,SSP2,regression,1873,80057.32
ARE,2029,SSP3,regression,1794,82237.09
ARE,2029,SSP4,regression,1846,81519.72
ARE,2029,SSP5,regression,1917,80277.99
ARE,2030,SSP1,regression,1795,82693.63
ARE,2030,SSP2,regression,1830,80993.99
ARE,2030,SSP3,regression,1742,83505.44
ARE,2030,SSP4,regression,1799,82738.53
ARE,2030,SSP5,regression,1877,81345.33
ARE,2031,SSP1,regression,1745,83930.95
ARE,2031,SSP2,regression,1783,81966.44
ARE,2031,SSP3,regression,1689,84794.27
ARE,2031,SSP4,regression,1748,84058.07
ARE,2031,SSP5,regression,1832,82576.45
ARG,2015,SSP1,survey,62134,19101.65
ARG,2015,SSP2,survey,62134,19101.65
ARG,2015,SSP3,survey,62134,19101.65
ARG,2015,SSP4,survey,62134,19101.65
ARG,2015,SSP5,survey,62134,19101.65
ARG,2016,SSP1,survey,65748,18479.45
ARG,2016,SSP2,survey,65748,18479.45
ARG,2016,SSP3,survey,65748,18479.45
ARG,2016,SSP4,survey,65748,18479.45
ARG,2016,SSP5,survey,65748,18479.45
ARG,2017,SSP1,survey,65274,18700.37
ARG,2017,SSP2,survey,65274,18700.37
ARG,2017,SSP3,survey,65274,18700.37
ARG,2017,SSP4,survey,65274,18700.37
ARG,2017,SSP5,survey,65274,18700.37
ARG,2018,SSP1,survey,64658,18953.36
ARG,2018,SSP2,survey,64658,18953.36
ARG,2018,SSP3,survey,64658,18953.36
ARG,2018,SSP4,survey,64658,18953.36
ARG,2018,SSP5,survey,64658,18953.36
ARG,2019,SSP1,survey,63904,19240.68
ARG,2019,SSP2,survey,63904,19240.68
ARG,2019,SSP3,survey,63904,19240.68
ARG,2019,SSP4,survey,63904,19240.68
ARG,2019,SSP5,survey,63904,19240.68
ARG,2020,SSP1,survey,62700,19637.59
ARG,2020,SSP2,survey,62700,19637.59
ARG,2020,SSP3,survey,62700,19637.59
ARG,2020,SSP4,survey,62700,19637.59
ARG,2020,SSP5,survey,62700,19637.59
ARG,2021,SSP1,survey,64196,20077.39
ARG,2021,SSP2,survey,64196,20077.39
ARG,2021,SSP3,survey,64196,20077.39
ARG,2021,SSP4,survey,64196,20077.39
ARG,2021,SSP5,survey,64196,20077.39
ARG,2022,SSP1,survey,62984,20521.08
ARG,2022,SSP2,survey,62984,20521.08
ARG,2022,SSP3,survey,62984,20521.08
ARG,2022,SSP4,survey,62984,20521.08
ARG,2022,SSP5,survey,62984,20521.08
ARG,2023,SSP1,survey,62150,20811.02
ARG,2023,SSP2,survey,62498,20750.97
ARG,2023,SSP3,survey,62995,20666.4
ARG,2023,SSP4,survey,62446,20740.68
ARG,2023,SSP5,survey,61997,20843.36
ARG,2024,SSP1,survey,61341,21105.07
ARG,2024,SSP2,survey,62025,20983.44
ARG,2024,SSP3,survey,63009,20812.75
ARG,2024,SSP4,survey,61922,20962.64
ARG,2024,SSP5,survey,61043,21170.71
ARG,2025,SSP1,survey,60557,21403.27
ARG,2025,SSP2,survey,61564,21218.51
ARG,2025,SSP3,survey,63027,20960.14
ARG,2025,SSP4,survey,61410,21186.97
ARG,2025,SSP5,survey,60121,21503.19
ARG,2026,SSP1,survey,59736,21701.92
ARG,2026,SSP2,survey,61113,21442.23
ARG,2026,SSP3,survey,63147,21076.15
ARG,2026,SSP4,survey,60845,21407.82
ARG,2026,SSP5,survey,59107,21856.83
ARG,2027,SSP1,survey,58940,22004.74
ARG,2027,SSP2,survey,60673,21668.31
ARG,2027,SSP3,survey,63270,21192.8
ARG,2027,SSP4,survey,60294,21630.97
ARG,2027,SSP5,survey,58129,22216.28
ARG,2028,SSP1,survey,58169,22311.78
ARG,2028,SSP2,survey,60244,21896.78
ARG,2028,SSP3,survey,63395,21310.09
ARG,2028,SSP4,survey,59755,21856.45
ARG,2028,SSP5,survey,57187,22581.64
ARG,2029,SSP1,survey,57422,22623.11
ARG,2029,SSP2,survey,59826,22127.65
ARG,2029,SSP3,survey,63522,21428.03
ARG,2029,SSP4,survey,59230,22084.27
ARG,2029,SSP5,survey,56279,22953.01
ARG,2030,SSP1,survey,56699,22938.78
ARG,2030,SSP2,survey,59420,22360.96
ARG,2030,SSP3,survey,63652,21546.63
ARG,2030,SSP4,survey,58717,22314.47
ARG,2030,SSP5,survey,55406,23330.48
ARG,2031,SSP1,survey,55944,23262.91
ARG,2031,SSP2,survey,59003,22588.67
ARG,2031,SSP3,survey,63784,21653.92
ARG,2031,SSP4,survey,58183,22540.6
ARG,2031,SSP5,survey,54494,23725.24
ARM,2015,SSP1,survey,86281,7903.88
ARM,2015,SSP2,survey,86281,7903.88
ARM,2015,SSP3,survey,86281,7903.88
ARM,2015,SSP4,survey,86281,7903.88
ARM,2015,SSP5,survey,86281,7903.88
ARM,2016,SSP1,survey,86784,7898.5
ARM,2016,SSP2,survey,86784,7898.5
ARM,2016,SSP3,survey,86784,7898.5
ARM,2016,SSP4,survey,86784,7898.5
ARM,2016,SSP5,survey,86784,7898.5
ARM,2017,SSP1,survey,77138,8112.49
ARM,2017,SSP2,survey,77138,8112.49
ARM,2017,SSP3,survey,77138,8112.49
ARM,2017,SSP4,survey,77138,8112.49
ARM,2017,SSP5,survey,77138,8112.49
ARM,2018,SSP1,survey,68511,8338.59
ARM,2018,SSP2,survey,68511,8338.59
ARM,2018,SSP3,survey,68511,8338.59
ARM,2018,SSP4,survey,68511,8338.59
ARM,2018,SSP5,survey,68511,8338.59
ARM,2019,SSP1,survey,60361,8583.3
ARM,2019,SSP2,survey,60361,8583.3
ARM,2019,SSP3,survey,60361,8583.3
ARM,2019,SSP4,survey,60361,8583.3
ARM,2019,SSP5,survey,60361,8583.3
ARM,2020,SSP1,survey,52975,8845.97
ARM,2020,SSP2,survey,52975,8845.97
ARM,2020,SSP3,survey,52975,8845.97
ARM,2020,SSP4,survey,52975,8845.97
ARM,2020,SSP5,survey,52975,8845.97
ARM,2021,SSP1,survey,45945,9145.59
ARM,2021,SSP2,survey,45945,9145.59
ARM,2021,SSP3,survey,45945,9145.59
ARM,2021,SSP4,survey,45945,9145.59
ARM,2021,SSP5,survey,45945,9145.59
ARM,2022,SSP1,survey,39017,9513.82
ARM,2022,SSP2,survey,39017,9513.82
ARM,2022,SSP3,survey,39017,9513.82
ARM,2022,SSP4,survey,39017,9513.82
ARM,2022,SSP5,survey,39017,9513.82
ARM,2023,SSP1,survey,33760,9843.94
ARM,2023,SSP2,survey,34200,9814.9
ARM,2023,SSP3,survey,34889,9775.66
ARM,2023,SSP4,survey,34082,9819.73
ARM,2023,SSP5,survey,33185,9879.43
ARM,2024,SSP1,survey,29376,10185.52
ARM,2024,SSP2,survey,30132,10125.51
ARM,2024,SSP3,survey,31249,10044.71
ARM,2024,SSP4,survey,29958,10135.47
ARM,2024,SSP5,survey,28311,10259.09
ARM,2025,SSP1,survey,25632,10538.95
ARM,2025,SSP2,survey,26599,10445.95
ARM,2025,SSP3,survey,28133,10321.16
ARM,2025,SSP4,survey,26332,10461.37
ARM,2025,SSP5,survey,24404,10653.34
ARM,2026,SSP1,survey,22767,10862.75
ARM,2026,SSP2,survey,24005,10722.69
ARM,2026,SSP3,survey,25944,10546.82
ARM,2026,SSP4,survey,23641,10748.12
ARM,2026,SSP5,survey,21305,11027.77
ARM,2027,SSP1,survey,20281,11196.49
ARM,2027,SSP2,survey,21715,11006.77
ARM,2027,SSP3,survey,23924,10777.41
ARM,2027,SSP4,survey,21278,11042.73
ARM,2027,SSP5,survey,18625,11415.35
ARM,2028,SSP1,survey,18054,11540.49
ARM,2028,SSP2,survey,19662,11298.36
ARM,2028,SSP3,survey,22097,11013.05
ARM,2028,SSP4,survey,19163,11345.42
ARM,2028,SSP5,survey,16485,11816.55
ARM,2029,SSP1,survey,16294,11895.06
ARM,2029,SSP2,survey,17983,11597.69
ARM,2029,SSP3,survey,20424,11253.83
ARM,2029,SSP4,survey,17443,11656.41
ARM,2029,SSP5,survey,14614,12231.86
ARM,2030,SSP1,survey,14558,12260.52
ARM,2030,SSP2,survey,16335,11904.94
ARM,2030,SSP3,survey,18868,11499.88
ARM,2030,SSP4,survey,15774,11975.92
ARM,2030,SSP5,survey,12946,12661.76
ARM,2031,SSP1,survey,13400,12590.87
