region,period,scen,diffmig
31,2065,SSP1,-553.584756
31,2070,SSP1,-601.7557553
31,2075,SSP1,-646.2486595
31,2080,SSP1,-686.5046194
31,2085,SSP1,-722.3825449
31,2090,SSP1,-754.2510094
31,2095,SSP1,-783.0182617
31,2100,SSP1,-809.7051853
108,2015,SSP1,0
108,2020,SSP1,-139.5764925
108,2025,SSP1,-311.8222506
108,2030,SSP1,-497.3732232
108,2035,SSP1,-686.1993043
108,2040,SSP1,-875.841202
108,2045,SSP1,-1067.809679
108,2050,SSP1,-1263.521352
108,2055,SSP1,-1461.756723
108,2060,SSP1,-1657.494225
108,2065,SSP1,-1845.254066
108,2070,SSP1,-2021.87766
108,2075,SSP1,-2185.932266
108,2080,SSP1,-2337.384055
108,2085,SSP1,-2473.753872
108,2090,SSP1,-2596.197605
108,2095,SSP1,-2703.586151
108,2100,SSP1,-2793.691015
56,2015,SSP1,0
56,2020,SSP1,119.119334
56,2025,SSP1,258.9509236
56,2030,SSP1,413.9624455
56,2035,SSP1,579.7092842
56,2040,SSP1,754.2621672
56,2045,SSP1,937.4390981
56,2050,SSP1,1129.242674
56,2055,SSP1,1329.180615
56,2060,SSP1,1535.78082
56,2065,SSP1,1746.333622
56,2070,SSP1,1958.121168
56,2075,SSP1,2168.760891
56,2080,SSP1,2376.624227
56,2085,SSP1,2580.067758
56,2090,SSP1,2776.410338
56,2095,SSP1,2962.121133
56,2100,SSP1,3129.870071
204,2015,SSP1,0
204,2020,SSP1,-10.28604514
204,2025,SSP1,-25.03964554
204,2030,SSP1,-42.59860607
204,2035,SSP1,-62.4011847
204,2040,SSP1,-84.29407262
204,2045,SSP1,-108.2491475
204,2050,SSP1,-134.1980435
204,2055,SSP1,-161.7502835
204,2060,SSP1,-190.2929532
204,2065,SSP1,-219.2937176
204,2070,SSP1,-248.3708207
204,2075,SSP1,-277.221321
204,2080,SSP1,-305.5690761
204,2085,SSP1,-333.1514827
204,2090,SSP1,-359.4563418
204,2095,SSP1,-383.9378679
204,2100,SSP1,-406.0976576
