countrycode,country,scenario,year,governance,gov.eff,corr.cont
KAZ,Kazakhstan,Observed,1996,0.356227872,0.3092325,0.169611429
KEN,Kenya,Observed,1996,0.380272245,0.398250053,0.163612148
KGZ,Kyrgyzstan,Observed,1996,0.412046206,0.426790233,0.201624884
KHM,Cambodia,Observed,1996,0.357372122,0.356765295,0.195650991
KOR,"Korea, Republic of",Observed,1996,0.6554944,0.600588478,0.518798061
KWT,Kuwait,Observed,1996,0.586094319,0.5277828,0.541036205
LAO,Lao People's Democratic Republic,Observed,1996,0.380350223,0.374633111,0.264106544
LBN,Lebanon,Observed,1996,0.448337031,0.4780716,0.278659021
LBR,Liberia,Observed,1996,0.155017053,0.154392055,0.084950045
LBY,Libyan Arab Jamahiriya,Observed,1996,0.280161513,0.324364227,0.229740736
LCA,Saint Lucia,Observed,1996,NA,NA,NA
LKA,Sri Lanka,Observed,1996,0.468897668,0.466855389,0.417676467
LSO,Lesotho,Observed,1996,0.51699756,0.47894737,0.450655032
LTU,Lithuania,Observed,1996,0.678988134,0.611524623,0.52774203
LUX,Luxembourg,Observed,1996,0.904356904,0.902908612,0.880467515
LVA,Latvia,Observed,1996,0.62741833,0.602976958,0.383841619
MAR,Morocco,Observed,1996,0.509599304,0.482971816,0.406062941
MDA,"Moldova, Republic of",Observed,1996,0.506744541,0.460378559,0.329888251
MDG,Madagascar,Observed,1996,0.463656524,0.413023021,0.345176824
MDV,Maldives,Observed,1996,0.591053929,0.687575904,0.356275375
MEX,Mexico,Observed,1996,0.47218076,0.550054781,0.312601496
MKD,Macedonia,Observed,1996,0.43745923,0.373860625,0.289226424
MLI,Mali,Observed,1996,0.456013461,0.30108643,0.25034026
MLT,Malta,Observed,1996,0.745410882,0.692864503,0.541108302
MNG,Mongolia,Observed,1996,0.569766434,0.427163367,0.456466338
MOZ,Mozambique,Observed,1996,0.455988633,0.474913602,0.33298212
MRT,Mauritania,Observed,1996,0.467905603,0.47894737,0.302629506
MUS,Mauritius,Observed,1996,0.641214265,0.545375152,0.438696901
MWI,Malawi,Observed,1996,0.473360693,0.445838755,0.357860515
MYS,Malaysia,Observed,1996,0.625056662,0.613316725,0.518997913
NAM,Namibia,Observed,1996,0.650279296,0.592031428,0.61711676
NER,Niger,Observed,1996,0.346611597,0.266328641,0.231203602
NGA,Nigeria,Observed,1996,0.284518649,0.316305999,0.156660969
NIC,Nicaragua,Observed,1996,0.447844123,0.388206079,0.300589677
NLD,Netherlands,Observed,1996,0.916007286,0.899490778,0.910550962
NOR,Norway,Observed,1996,0.9140436,0.901106372,0.923701693
NPL,Nepal,Observed,1996,0.480165365,0.426790233,0.283380788
NZL,New Zealand,Observed,1996,0.915903519,0.864667739,0.917084701
OMN,Oman,Observed,1996,0.588529296,0.593610425,0.526276033
PAK,Pakistan,Observed,1996,0.369159475,0.377233422,0.149510948
PAN,Panama,Observed,1996,0.561435429,0.549699123,0.384356312
PER,Peru,Observed,1996,0.459437598,0.511153248,0.338771307
PHL,Philippines,Observed,1996,0.510488917,0.440484069,0.347993805
PNG,Papua New Guinea,Observed,1996,0.450595742,0.435002839,0.330800797
POL,Poland,Observed,1996,0.706891308,0.642795653,0.593870316
PRI,NA,Observed,1996,0.721823707,0.739733038,0.527891457
PRT,Portugal,Observed,1996,0.820466205,0.763439047,0.746826328
PRY,Paraguay,Observed,1996,0.401035367,0.31918845,0.161960689
RUS,Russian Federation,Observed,1996,0.391826485,0.412211041,0.187929968
RWA,Rwanda,Observed,1996,0.247834514,0.27031883,0.258965373
SAU,Saudi Arabia,Observed,1996,0.450766262,0.466855389,0.393069125
SDN,Sudan,Observed,1996,0.195009024,0.303347585,0.144906804
SEN,Senegal,Observed,1996,0.507966683,0.519724589,0.397814466
SGP,Singapore,Observed,1996,0.843639556,0.909685808,0.916436603
SLB,Solomon Islands,Observed,1996,NA,NA,0.509252502
SLE,Sierra Leone,Observed,1996,0.281276518,0.217430536,0.256352976
SLV,El Salvador,Observed,1996,0.431365781,0.363532389,0.231275643
SOM,Somalia,Observed,1996,0.10929818,0.105493927,0.137110553
SRB,Serbia,Observed,1996,0.305494684,0.287611453,0.16794016
SSD,NA,Observed,1996,NA,NA,NA
STP,Sao Tome and Principe,Observed,1996,0.572509564,0.426790233,0.523285514
SUR,Suriname,Observed,1996,0.508977455,0.364124898,0.473496458
SVK,Slovakia,Observed,1996,0.642632447,0.597769574,0.480965768
SVN,Slovenia,Observed,1996,0.777139318,0.684700425,0.687509781
SWE,Sweden,Observed,1996,0.900927558,0.895214824,0.931775834
SWZ,Swaziland,Observed,1996,0.42993903,0.374633111,0.439308133
SYR,Syrian Arab Republic,Observed,1996,0.351635396,0.340480648,0.227611254
